Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2010			2009	2010			2009		Ces_travaux	Ces travaux se sont déroulés sur deux périodes en 2009 et en 2010, pour s’achever en septembre 2010.		
2005				2005					Une_étude_hydrogéologique	Une étude hydrogéologique a été réalisée fin 2005 pour le compte de la mairie.		
1984	11	08		1984	11	08			a_été_autorisée	En effet, une première extension a été autorisée par arrêté préfectoral en date du 8 novembre 1984, et une seconde extension autorisée par arrêté préfectoral en date du 14 juin 1993.		
2012		2011		2012		2011			des_études_historiques	Dans la cadre d’un projet de la collectivité de réaménagement de l’ancien site SAI TS (projet de maison médicale), des études historiques et de vulnérabilité ont été effectuées en 2011 et 2012, d’une part sur la partie nord du site à l’initiative du propriétaire des parcelles nord, et d’autre part sur la partie sud du site et la partie nord-est (ancienne station de traitement des effluents) à l’initiative de la collectivité.	'effluents'	'SAI TS', 'la collectivité'
2005	11			2005	11				prendre_un_arrêté_d_	L’identification en septembre 2005 d’une pollution des eaux d’un puits de particulier proche du site par du plomb (964 μg/l) a conduit le maire à prendre un arrêté d’interdiction d’utilisation à des fins alimentaires des eaux des puits sur une partie de la commune en novembre 2005.	'plomb'	
2012	08			2012	08				24_sondages_de_sols	* sur les parties sud et nord-est du site (parcelles 3410, 3481 et 3664), en août 2012, 24 sondages de sols (voir le plan cartographique n°3-partie B) ;		
2005	12	16		15	2005	12	16		15		un_nouveau_contrôle	Dans ce cadre, un nouveau contrôle de la qualité des eaux souterraines à partir de prélèvements réalisés dans ce même puits, ainsi que dans 5 autres puits et dans le ruisseau de l’Hommée, les 15 et 16 décembre 2005, n’a pas révélé la présence de plomb, ou autres métaux dans les prélèvements (les analyses se sont limitées à la recherche des métaux).	'plomb', 'métaux'	
2004	05	12		2004	05	12			a_été_placée_en_liquidation_judiciaire_par_jugement	La société SAI TS a été placée en liquidation judiciaire par jugement du tribunal de commerce de Rennes le 12 mai 2004.		'La société SAI TS'
2012	11			2012	11				un_diagnostic_complémentaire	En novembre 2012, un diagnostic complémentaire de pollution sur les milieux sol, eau souterraine et air du sol a donc été effectué sur l’ensemble du site (un nouveau piézomètre implanté en aval hydraulique du site, 2 piézairs dans le bâtiment D et 28 nouveaux sondages de sols).		
2011				2011					préconisait_alors	L’ADEME préconisait alors début 2011, à l’issue de son intervention sur le site pour sa mise en sécurité, la réalisation d’investigations complémentaires sur les sols et les eaux souterraines au droit du site et autour du site.		
2004	07			2004	07				Une_première_étude_de_sol	Une première étude de sol a été réalisée en juillet 2004 à l’initiative du propriétaire de la partie nord du site. 10 sondages ont été effectués et ont mis en évidence une contamination du sol par des métaux (1300 mg/kg MS en Cr, 89 mg/kg MS en Ni, et 15 000 mg/kg MS en Zn, identifiés au maximum) au droit de l’ancienne station d’épuration.	'des métaux', 'Cr', 'Ni', 'Zn'	
2005	09			2005	09				L__identification	L’identification en septembre 2005 d’une pollution des eaux d’un puits de particulier proche du site par du plomb (964 μg/l) a conduit le maire à prendre un arrêté d’interdiction d’utilisation à des fins alimentaires des eaux des puits sur une partie de la commune en novembre 2005.	'plomb'	
1981				1981					avait_été_autorisée_à_exploiter	La société SAI TS a exploité de 1999 à 2004 une activité de traitement de surface par protection électrolytique, chimique (zinc, nickel, chrome), ainsi que par revêtements spécifiques sur toutes surfaces métalliques et plastiques, poursuivant les activités de la société ANJOU ELECTROLYSE, qui avait été autorisée à exploiter le site en 1981 et à étendre son activité à plusieurs reprises (zincage, nickelage, étamage et dorure).	'zinc', 'nickel', 'chrome', 'zincage'	'La société SAI TS', 'la société ANJOU ELECTROLYSE'
2006	03			2006	03				a_été_levé	Les analyses des puits n’ayant pas confirmé la pollution en plomb mise en évidence en septembre 2005 sur un puits, l’arrêté municipal d’interdiction d’usage de l’eau de la nappe a été levé en mars 2006.	'plomb'	
2004	05			2004	05				a_pas_éliminé	Suite à sa mise en liquidation judiciaire prononcée en mai 2004, la société SAI TS, insolvable, n’a pas éliminé les matières premières restantes et les déchets résultant de son activité, stockés sur le site.	'les déchets'	'la société SAI TS'
2012	12			2012	12				projet_d__aménagement	Le projet d’aménagement de la collectivité locale a été abandonné en décembre 2012 suite aux différentes investigations et aux conclusions du plan de gestion, à cause des coûts de dépollution prohibitifs.		
2005		2004		2005		2004			Les_investigations_réalisées	Les investigations réalisées en 2004 et 2005 sur les sols et les eaux souterraines apparaissaient insuffisantes (investigations sur les sols uniquement au nord du site et sur des paramètres limités aux métaux et hydrocarbures, absence d’investigations sur les eaux souterraines au droit du site).	'métaux', 'hydrocarbures'	
2010	09			2010	09				Ces_travaux	Ces travaux se sont déroulés sur deux périodes en 2009 et en 2010, pour s’achever en septembre 2010.		
1993	06	14		1993	06	14			a_été_autorisée	En effet, une première extension a été autorisée par arrêté préfectoral en date du 8 novembre 1984, et une seconde extension autorisée par arrêté préfectoral en date du 14 juin 1993.		
2004	05	12		2004	05	12			du_tribunal_de_commerce	La société SAI TS a été placée en liquidation judiciaire par jugement du tribunal de commerce de Rennes le 12 mai 2004.		'La société SAI TS'
2012	10	04		2012	10	04			des_prélèvements_et_analyses	Du fait d’un risque de transfert de pollution existant via les eaux souterraines, des prélèvements et analyses de puits riverains ont été effectués par l’ARS le 4 octobre 2012.		
2004	07	21		2004	07	21			a_déclaré_la_cessation_d__activité	Maître Olivier MASSART (Rennes), nommé liquidateur, a déclaré la cessation d’activité le 21 juillet 2004.		'Maître Olivier MASSART'
1999				2004					a_exploité	La société SAI TS a exploité de 1999 à 2004 une activité de traitement de surface par protection électrolytique, chimique (zinc, nickel, chrome), ainsi que par revêtements spécifiques sur toutes surfaces métalliques et plastiques, poursuivant les activités de la société ANJOU ELECTROLYSE, qui avait été autorisée à exploiter le site en 1981 et à étendre son activité à plusieurs reprises (zincage, nickelage, étamage et dorure).	'zinc', 'nickel', 'chrome', 'zincage'	'La société SAI TS', 'la société ANJOU ELECTROLYSE'
