Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2011	02	14		2011	02	14			transmis	Les résultats des études et investigations complémentaires confiées au bureau d'études ICF Environnement transmis le 14/02/2011 font apparaître une divergence d'approche consistant à fixer un objectif de dépollution basé sur les seuils de mise en décharge de déchets inertes, contraire à l'approche nationale définie par la circulaire du 08/02/2007.		'ICF'
2012	02	28		2012	02	28			d__une_visite_d__inspection	Lors d'une visite d'inspection le 28/02/2012, il est constaté que l'aire de l'ancienne station a été excavée puis remblayée, qu'il ne subsiste plus aucun élément apparent de l'ancienne station et enfin que les trois piézomètre servant aux prélèvements sont à présents obturés.		
1995	06	10		1995	06	10			Une_rénovation	Une rénovation de la station-service était déclarée le 10 juin 1995. le courrier préfectoral du  19 juin 1995 confirmait l'absence de modification du classement administratif des installations et des prescriptions applicables.		
2012	02	28		2012	02	28			ont_été_remis	Les résultats de la campagne suivante (hautes eaux en décembre 2011) ont été remis le 28 février 2012.		
2010	09	1		2010	09	1			de_cessation_d__activité	Le diagnostic de l'état des sols joint à la notification de cessation d'activité du 1er/09/2010 fait apparaître une pollution des sols de l'ancienne station-service par des hydrocarbures (gasoil), des BTEX et des HAP :	'hydrocarbures', 'gasoil', 'des BTEX', 'des HAP'	
1981									exploitée	Le 1er septembre 2010, Castaldis précise les conditions de cessation d'activité de cette station-service exploitée depuis 1981.		'Castaldis'
2011	06	06		2011	06	06			campagne	Le toluène précédemment observé ( dans les sols et dans les eaux souterraines) n'est plus détecté dans les sondages ni dans les eaux souterraines (campagne du 06/06/2011).	'Le toluène'	
2010	09	1		2010	09	1			précise	Le 1er septembre 2010, Castaldis précise les conditions de cessation d'activité de cette station-service exploitée depuis 1981.		'Castaldis'
2011	06			2011	06				la_première_campagne_d__analyses_après_travaux	L'exploitant a transmis à l'inspection le 16 août 2011 les résultats de la première campagne d'analyses après travaux (en période de basses eaux en juin 2011).		
2011	01	21		2011	01	21			la_surveillance_semestrielle	Le 21/01/2011, l'inspection des Installations Classées propose la surveillance semestrielle de la qualité des eaux souterraines de la première nappe rencontrée au droit des terrains par l'implantation de 3 piézomètres et l'analyse des paramètres Hydrocarbures totaux, BTEX, 10HAP.	'Hydrocarbures totaux', 'BTEX', '10HAP'	
2011	08	16		2011	08	16			a_transmis	L'exploitant a transmis à l'inspection le 16 août 2011 les résultats de la première campagne d'analyses après travaux (en période de basses eaux en juin 2011).		
2011	12		06	2011	12		06		Les_résultats_des_2_campagnes	Les résultats des 2 campagnes de juin et décembre 2011, réalisées après les travaux, ne mettent pas en évidence un impact de l'ancienne station sur la nappe présente à 5 m environ en dessous de la surface du sol.		
2011	12			2011	12				hautes_eaux	Les résultats de la campagne suivante (hautes eaux en décembre 2011) ont été remis le 28 février 2012.		
2011	01	21		2011	01	21			propose	Le 21/01/2011, l'inspection des Installations Classées propose la surveillance semestrielle de la qualité des eaux souterraines de la première nappe rencontrée au droit des terrains par l'implantation de 3 piézomètres et l'analyse des paramètres Hydrocarbures totaux, BTEX, 10HAP.	'Hydrocarbures totaux', 'BTEX', '10HAP'	
2011	06			2011	06				a_transmis	L'exploitant a transmis à l'inspection le 16 août 2011 les résultats de la première campagne d'analyses après travaux (en période de basses eaux en juin 2011).		
1995	06	02		1995	06	02			délivré	Le récépissé délivré le 2 juin 1995 mentionnait un stockage de liquides inflammables composé de 80 m3 de 1ère catégorie (CA et SC) et 20 m3 de 2e catégorie (GO) en cuve enterrée cloisonnée, soit un volume équivalent total de 100 m3. ainsi que 3 volucompteurs d'un débit de 3 m3/h de 1ère catégorie et un volucompteur de  3 m3/h de 1ère catégorie soit un débit équivalent total de 9,6 m3/h.	'stockage de liquides inflammables'	
1981			01			19	1981			01			19		a_été_délivré	Récépissé a été délivré le 19 janvier 1981.		
2012	07	19		2012	07	19			ont_été_transmis	Une attestation de neutralisation et ferraillage émise par la société MADIC à la date du 16/07/2012, le certificat de transport et de destination des cuves enlevées du site, et un bordereau de suivi des déchets pour les eaux pompées chargées en hydrocarbures (émis par la SAS LA POPULAIRE de la ZA Michemon à Marmande) ont été transmis à la DREAL par la société LECLERC Casteljaloux par un courrier datant du 19/07/2012.	'hydrocarbures'	'la société MADIC', 'la SAS LA POPULAIRE', 'de la ZA Michemon', 'la DREAL', 'la société LECLERC Casteljaloux'
2012	03	1		2012	03	1			Le_procès_verbal_de_récolement	Le procès-verbal de récolement du 1er/03/2012 constate que l’ancienne station service de la société Casteldis a été mise à l'arrêt définitif dans des conditions satisfaisantes au regard de l'article R 512-66-1-III  du code de l'environnement.		'la société Casteldis'
2010	10			2010	10				qui_devait_intervenir	Cette cessation d'activité est liée au transfert du magasin LECLERC, voisin de la station-service, qui devait intervenir en octobre 2010 et à la création d'une nouvelle station.		'LECLERC'
2011	09			2011	09				reçoit	En septembre 2011, la DREAL reçoit le rapport de fin de travaux exécutés en juin 2011 : 308 t de terres polluées ont été excavées et envoyées au centre de traitement biologique de Graulhet 81.		'la DREAL'
2011	06	07		2011	06	07			la_mesure	L'arrêté du 07/06/2011 prescrit la surveillance semestrielle de la nappe dans 3 piézomètres avec la mesure des paramètres HCTX, BTEX, HAP.	'HCTX', 'BTEX', 'HAP'	
2012	07	16		2012	07	16			ferraillage_émise_par	Une attestation de neutralisation et ferraillage émise par la société MADIC à la date du 16/07/2012, le certificat de transport et de destination des cuves enlevées du site, et un bordereau de suivi des déchets pour les eaux pompées chargées en hydrocarbures (émis par la SAS LA POPULAIRE de la ZA Michemon à Marmande) ont été transmis à la DREAL par la société LECLERC Casteljaloux par un courrier datant du 19/07/2012.	'hydrocarbures'	'la société MADIC', 'la SAS LA POPULAIRE', 'de la ZA Michemon', 'la DREAL', 'la société LECLERC Casteljaloux'
2011	08	16		2011	08	16			a_été_adressé	Le rapport de fin des travaux de réhabilitation a été adressé à l'inspection le 16/08/2011.		
2012	07	19		2012	07	19			un_courrier	Une attestation de neutralisation et ferraillage émise par la société MADIC à la date du 16/07/2012, le certificat de transport et de destination des cuves enlevées du site, et un bordereau de suivi des déchets pour les eaux pompées chargées en hydrocarbures (émis par la SAS LA POPULAIRE de la ZA Michemon à Marmande) ont été transmis à la DREAL par la société LECLERC Casteljaloux par un courrier datant du 19/07/2012.	'hydrocarbures'	'la société MADIC', 'la SAS LA POPULAIRE', 'de la ZA Michemon', 'la DREAL', 'la société LECLERC Casteljaloux'
2011	06	08		2011	06	08			ont_été_enlevées	- que les cuves ont été enlevées à la date du 08 juin 2011		
