Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
									Les_travaux_de_comblement_de	- Les travaux de comblement de ces ouvrages ont été réalisés du 19/06/17 au 27/06/17 par		
2018	11		06	2018	11		06		analyses_des_campagnes	Les résultats d’analyses des campagnes de juin et novembre 2018, au droit du site TIMAC AGRO et des deux piézomètres hors site (Pz9 et Pz10), soulignent l’absence de détection d’anomalie significative en composés organiques (HCT C5-C10, HCT C10-C40, HAP, BTEX, COHV) dans les eaux souterraines.	'composés organiques', 'HCT C5-C10', 'HCT', 'HAP', 'BTEX', 'COHV'	'TIMAC AGRO'
2010				2010					ont_été_démolis	- les bâtiments ont été démolis fin 2010.		
2016	03			2016	03				a_fait_l__objet_d_	Cette opération a fait l'objet d'un rapport adressé au Préfet en mars 2016.		'Préfet'
2017	12			2017	12				la_campagne	Les résultats d’analyses de la campagne de décembre 2017 (après rebouchage des ouvrages Pz1, Pz2, Puits 1 et Puits 2), mettent en évidence des anomalies de concentrations dans les eaux souterraines au droit des piézomètres Pz5, Pz6 et Pz7, pour les nitrates, les sulfates et l’ammonium.	'les nitrates', 'les sulfates', 'ammonium'	
				2018					Les_travaux_de	Les travaux de confinement des anciennes lagunes ont été réalisés de juin à septembre 2018.		
2016	12	05		2016	12	05			Ces_mesures_ont_ensuite_été_prescrites	Ces mesures ont ensuite été prescrites par l’arrêté préfectoral complémentaire du 5 décembre 2016.		
2016	07	05		2016	07	05			la_pollution	Lors d'un contrôle effectué le 5 juillet 2016, l'inspection des installations classées a toutefois constaté la pollution du fossé situé chemin de Bitry par des sédiments blanchâtres.		
2013	04			2013	04				avait_informé	En avril 2013, le service d'assainissement de Pithiviers avait informé l'inspection des installations classées d'une pollution du fossé situé Chemin de Bitry, fossé longeant le site TIMAC AGRO.		'le site TIMAC AGRO'
2017	05			2017	05				ont_été_évacués	- Les déblais impactés en hydrocarbures ont été évacués en mai 2017 puis en septembre 2017 ;	'hydrocarbures'	
1885				1885					a_été_créé	Le site a été créé en 1885 par la société MERLET et DELAUGERE, à laquelle ont succédé les sociétés BOUCHENY, RENO, puis INTERFERTIL FRANCE SAS devenue AGRIVA en septembre 2008, puis TIMAC AGRO en janvier 2012.		'la société MERLET et DELAUGERE', 'les sociétés BOUCHENY', 'RENO', 'INTERFERTIL FRANCE SAS devenue AGRIVA', 'TIMAC AGRO'
				2015	02	25			des_travaux_de_dépollution	Du 02 au 25 février 2015, des travaux de dépollution du sous-sol ont été menés au droit de l'emprise de la fosse maçonnée ayant accueilli des cuves de stockage de fuel lourd. 1 794.60 tonnes de matériaux impactés par des hydrocarbures ont été évacuées hors site en centre agréé et la fosse maçonnée a été démolie.	'stockage de fuel lourd', 'hydrocarbures'	
				2015					une_campagne_d__analyse	Dans le cadre d'investigations complémentaires 6 piézomètres supplémentaires ont été mis en place pour une campagne d'analyse entre juillet et septembre 2015.		
2018	09	10		2018	09	10			Les_travaux_ont_été_réceptionnés	Les travaux ont été réceptionnés par l'exploitant le 10 septembre 2018.		
2016	03			2016	03				a_transmis	L'exploitant a transmis en mars 2016 un plan de gestion pour le traitement de la pollution mise en évidence dans les sols et les eaux souterraines.		
2009	08			2009	08				Les_investigations_menées	Les investigations menées (diagnostic initial d'octobre 2007 et diagnostic approfondi d'août 2009) ont consisté en la réalisation de plusieurs sondages de sols, de prélèvements de gaz du sol et de prélèvements dans les eaux de la nappe au droit du site.		
2016	03			2016	03				ont_fait_l__objet_d_	Ces opérations ont fait l'objet d'un rapport adressé au Préfet en mars 2016.		'Préfet'
2007	09	03		2007	09	03			a_informé	Par courrier du 3 septembre 2007, l'exploitant a informé le Préfet du Loiret de l'arrêt de la production des engrais et que le démantèlement des installations de production se prolongerait jusqu'à fin 2007.		'le Préfet du Loiret'
				2015					ont_été_mis_en_place	Dans le cadre d'investigations complémentaires 6 piézomètres supplémentaires ont été mis en place pour une campagne d'analyse entre juillet et septembre 2015.		
2016	07	05		2016	07	05			un_contrôle	Lors d'un contrôle effectué le 5 juillet 2016, l'inspection des installations classées a toutefois constaté la pollution du fossé situé chemin de Bitry par des sédiments blanchâtres.		
2015	07			2015	07				Les_investigations_menées	Les investigations menées en juillet 2015 sur les sols ont consisté en la réalisation de 105 sondages de sols descendant jusqu'à une profondeur de 9 mètres.		
2018	06			2018	06				la_campagne	A l’extérieur du site TIMAC AGRO, les résultats d’analyses de la campagne de juin 2018 mettent en évidence des concentrations en nitrates, ammonium et sélénium supérieures	'nitrates', 'ammonium', 'sélénium'	'TIMAC AGRO'
2007	10			2007	10				diagnostic_initial	Les investigations menées (diagnostic initial d'octobre 2007 et diagnostic approfondi d'août 2009) ont consisté en la réalisation de plusieurs sondages de sols, de prélèvements de gaz du sol et de prélèvements dans les eaux de la nappe au droit du site.		
				2007					le_démantèlement_des_installations_de_production	Par courrier du 3 septembre 2007, l'exploitant a informé le Préfet du Loiret de l'arrêt de la production des engrais et que le démantèlement des installations de production se prolongerait jusqu'à fin 2007.		'le Préfet du Loiret'
2016	10	25			24	2016	10	25			24		16_sondages_de_sol_ont_été_réalisés	16 sondages de sol ont été réalisés le 24 et le 25 octobre 2016 au droit du chemin de Bitry, au droit du secteur au niveau duquel des écoulements blanchâtres ont été constatés.		
2016	06	27		2016	06	27			de_la_réunion	Au cours de la réunion du 27 juin 2016 relative au contenu du plan de gestion, l’exploitant s’est engagé à prendre les mesures suivantes :		
2009	08			2009	08				diagnostic_approfondi_d_	Les investigations menées (diagnostic initial d'octobre 2007 et diagnostic approfondi d'août 2009) ont consisté en la réalisation de plusieurs sondages de sols, de prélèvements de gaz du sol et de prélèvements dans les eaux de la nappe au droit du site.		
2015	02	12		2015	02	12			Le_curage	Le curage du fossé a été réalisé le 12 février 2015, les terres polluées ont été stockées provisoirement sur le site.		
2015	04	04		2015	04	04			des_prélèvements_ont_été_effectués	Dans le cadre du suivi semestriel des eaux souterraines, des prélèvements ont été effectués le 4 avril 2015, au droit des piézomètres (PZ1 et PZ2) et puits existant sur le site.		
				2007					l__arrêt_de_la_production_des_engrais	Par courrier du 3 septembre 2007, l'exploitant a informé le Préfet du Loiret de l'arrêt de la production des engrais et que le démantèlement des installations de production se prolongerait jusqu'à fin 2007.		'le Préfet du Loiret'
