0l0l3||0l0l0||0l0l2||0l0l4||Non||Non||Non||[]||[]||Le terrain, situé dans les faubourgs Ouest de la ville, d’une superficie de 12.897 m2, a accueilli de 1855 à 1961,une usine fabriquant du gaz à partir de la distillation de la houille.

2l0l0||Non||2l0l2||2l0l1||Non||Non||Non||[]||[]||En 1961, le site est réaménagé en agence d’exploitation avec l’arrivée du gaz naturel.

3l0l2||Non||3l0l1||Non||Non||Non||Non||['une agence EDF GDF Services']||[]||Actuellement, il accueille toujours une agence EDF GDF Services qui a été réaménagée en 1994 et 1995 (bâtiments administratifs et techniques, locaux d’activité, poste de détente de gaz).

6l0l18||Non||6l0l17||Non||Non||Non||Non||['Gaz de France', 'le Ministère de l’ Environnement', 'Gaz de France']||[]||L’application de cette méthode a abouti à l’établissement de cinq classes de priorité pour lesquelles les engagements de Gaz de France ont fait l’objet d’un protocole d’accord relatif à la maîtrise et au suivi de la réhabilitation des anciens terrains d’usines à gaz entre le Ministère de l’Environnement et Gaz de France signé le 25 avril 1996.

7l0l3||7l0l0||7l0l2||Non||Non||Non||Non||[]||[]||Le protocole du 25 avril 1996 a pris fin le 25 avril 2006.

11l0l7||Non||11l0l5||11l0l6||Non||Non||Non||[]||[]||Conformément aux engagements du protocole et en raison d’un projet de réaménagement interne pour les besoins de l’entreprise (construction de la nouvelle agence en 1994-1995), ce site a fait l’objet en mars 1994 d’un diagnostic approfondi.

11l0l10||Non||11l0l9||Non||Non||Non||Non||[]||[]||Conformément aux engagements du protocole et en raison d’un projet de réaménagement interne pour les besoins de l’entreprise (construction de la nouvelle agence en 1994-1995), ce site a fait l’objet en mars 1994 d’un diagnostic approfondi.

14l0l3||14l0l0||14l0l1||14l0l2||Non||Non||Non||['Gaz de France']||[]||Gaz de France a entrepris la neutralisation de ces ouvrages en mai et juin 1994 (élimination de 436 tonnes de matériaux souillés).

14l0l3||14l1l0||14l0l1||14l0l2||Non||Non||Non||['Gaz de France']||[]||Gaz de France a entrepris la neutralisation de ces ouvrages en mai et juin 1994 (élimination de 436 tonnes de matériaux souillés).

19l0l1||Non||19l0l0||Non||Non||Non||Non||['la DRIRE', 'Gaz de France', 'Gaz de France']||['hydrocarbures']||Par un appel téléphonique du 28 août 2006, la DRIRE a informé Gaz de France d’une suspicion de pollution par des hydrocarbures dans les eaux de puits privés situés rue Fijalkowski à Sens et a demandé à Gaz de France d’entreprendre des recherches concernant le site de l’ancienne usine à gaz située à Paron.

19l0l1||19l0l2||19l0l3||19l1l1||Non||Non||Non||['la DRIRE', 'Gaz de France', 'Gaz de France']||['hydrocarbures']||Par un appel téléphonique du 28 août 2006, la DRIRE a informé Gaz de France d’une suspicion de pollution par des hydrocarbures dans les eaux de puits privés situés rue Fijalkowski à Sens et a demandé à Gaz de France d’entreprendre des recherches concernant le site de l’ancienne usine à gaz située à Paron.

19l0l1||19l0l2||19l0l3||19l0l4||Non||Non||Non||['la DRIRE', 'Gaz de France', 'Gaz de France']||['hydrocarbures']||Par un appel téléphonique du 28 août 2006, la DRIRE a informé Gaz de France d’une suspicion de pollution par des hydrocarbures dans les eaux de puits privés situés rue Fijalkowski à Sens et a demandé à Gaz de France d’entreprendre des recherches concernant le site de l’ancienne usine à gaz située à Paron.

19l0l1||19l1l0||19l0l3||19l1l1||Non||Non||Non||['la DRIRE', 'Gaz de France', 'Gaz de France']||['hydrocarbures']||Par un appel téléphonique du 28 août 2006, la DRIRE a informé Gaz de France d’une suspicion de pollution par des hydrocarbures dans les eaux de puits privés situés rue Fijalkowski à Sens et a demandé à Gaz de France d’entreprendre des recherches concernant le site de l’ancienne usine à gaz située à Paron.

19l0l1||19l1l0||19l0l3||19l0l4||Non||Non||Non||['la DRIRE', 'Gaz de France', 'Gaz de France']||['hydrocarbures']||Par un appel téléphonique du 28 août 2006, la DRIRE a informé Gaz de France d’une suspicion de pollution par des hydrocarbures dans les eaux de puits privés situés rue Fijalkowski à Sens et a demandé à Gaz de France d’entreprendre des recherches concernant le site de l’ancienne usine à gaz située à Paron.

20l0l0||20l0l1||20l0l3||Non||Non||20l0l2||20l0l4||['Gaz de France']||[]||Le 29 août 2006, Gaz de France a réalisé une campagne de mesures sur les trois piézomètres implantés au droit du site.

20l0l0||20l1l0||20l0l3||Non||Non||20l0l2||20l0l4||['Gaz de France']||[]||Le 29 août 2006, Gaz de France a réalisé une campagne de mesures sur les trois piézomètres implantés au droit du site.

21l0l3||Non||21l0l1||Non||Non||Non||Non||['la DRIRE']||[]||Les résultats de cette campagne ont été communiqués à la DRIRE le 29 septembre 2006.

24l0l3||Non||24l0l2||Non||Non||Non||Non||[]||[]||Cette situation a conduit le Maire de la ville de Sens à prendre un arrêté en date du 28 septembre 2006 interdisant l’usage de l’eau des puits privés des riverains situés à proximité des terrains de l’ancienne usine à gaz.

