Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2013	09	02		2013	09	02			a_été_déposé	Un mémoire actant la fin des travaux de réhabilitation a été déposé le 2 septembre 2013, suivi de la remise d'un rapport de suivi de la qualité des eaux souterraines le 12 décembre 2013.		
2000	08			2000	08				premier_diagnostic_de_pollution_des_sols	Août 2000 : premier diagnostic de pollution des sols au droit du site.		
2007				2007					a_atteint	Toutefois le procédé a atteint son seuil d'efficacité en 2007 en raison de la faible perméabilité des couches géologiques au droit du site.		
2010	12	23		2010	12	23			a_été_remis	Après analyse de relevés piézométriques, un complément à l'état des lieux environnemental du 7 décembre 2010 a été remis le 23 décembre 2010.		
2000	11			2000	11				__diagnostic_complémentaire	Novembre 2000 : diagnostic complémentaire pour préciser l'extension de la pollution.		
2010									son_augmentation	- dans la nappe superficielle dite "des remblais" (piézomètres PzAbis à PzD), avec une réapparition du méthyltertiobutyléther dans PzD et son augmentation depuis 2010 dans PzAbis, et présence d'hydrocarbures C5-C40 en PzAbis et PzB.	'méthyltertiobutyléther', 'hydrocarbures C5-C40'	
2012	12	31		2012	12	31			effective	De fait, la cessation d'activité de l'ancienne installation (effective au 31 décembre 2012) nécessitait la réalisation de travaux de dépollution.		
2005				2008					Le_fonctionnement	Le fonctionnement de cette unité de dépollution s'est déroulé de septembre 2005 à décembre 2008.		
2011	05	27		2011	05	27			Après_transfert	Après transfert de l'exploitation à la société BP France le 27 mai 2011, des travaux de restructuration ont débuté sur le site en janvier 2012.		'la société BP France'
2012	12	31		2012	12	31			la_cessation_d__activité	De fait, la cessation d'activité de l'ancienne installation (effective au 31 décembre 2012) nécessitait la réalisation de travaux de dépollution.		
2014	02			2014	02				Les_travaux_de_restructuration	Les travaux de restructuration de la station-service de l'aire de La Ferté ont été pour l'essentiel achevés en février 2014.		
2015				2015					Des_campagnes_de_surveillances	Des campagnes de surveillances des eaux ont été réalisées en 2015 , la dernière datant de décembre 2015 mettait en évidence :		
2001	03			2001	03				des_travaux_d__excavation	Mars 2001 : des travaux d'excavation des terres polluées et le traitement desdites terres en biocentre sont réalisés.		
2010	12	07		2010	12	07			un_état_des_lieux_environnemental_a_été_réalisé	En prévision du changement de concessionnaire, un état des lieux environnemental a été réalisé par Carautoroutes le 7 décembre 2010, lequel mettait en évidence :		
2011	12	02		2011	12	02			a_été_transmis	Un plan de gestion avec analyse des risques résiduels a été transmis le 2 décembre 2011.		
2012	02	15		2012	02	15			Les_travaux_de_réhabilitation	Les travaux de réhabilitation entrepris à partir du 15 février 2012 sur le site de la station-service à démanteler ont consisté en :		
2012	05	15		2012	05	15			a_été_tenu_par	Au 15 mai 2012, compte tenu de la pollution avérée toujours présente au droit de cette installation, BP France a été tenu par arrêté préfectoral de respecter les prescriptions suivantes :		'BP France'
2014	02	19		2014	02	19			Après_inspection_du_site	Après inspection du site le 19 février 2014, il a été requis de l'exploitant la remise en état d'un réseau de surveillance de la qualité des eaux souterraines (abandon des piézomètres endommagés lors des travaux, implantation de nouveaux piézomètres) ainsi que la mise en place d'un suivi de la qualité des eaux superficielles conformément aux prescriptions de l'arrêté du 15 mai 2012.		
2011	07	19		2011	07	19			n__est_plus_soumise_au_régime	En raison du décret du 13 avril 2010 modifiant la nomenclature des installations classées pour la protection de l'environnement, la station-service n'est plus soumise au régime de l'autorisation mais à celui de l'enregistrement (arrêté préfectoral du 19 juillet 2011).		
2011	03	1		2011	03	1			a_été_tenu_de_respecter	Le 1er mars 2011, par arrêté préfectoral, l'exploitant (alors Carautoroutes) a été tenu de respecter les exigences suivantes :		'Carautoroutes'
2003	08	12		2003	08	12			a_été_envoyé	Le rapport de fin de réhabilitation a été envoyé à l'inspection des installations classées le 12 août 2003.		
2011	03			2011	03				un_diagnostic_complémentaire	A la demande du repreneur de la concession à savoir la société BP FRANCE, un diagnostic complémentaire du site avait été réalisé à partir de mars 2011, et transmis le 16 novembre 2011.		'la société BP FRANCE'
2001	11	27		2001	11	27			devint_le_nouvel_exploitant	Le 27 novembre 2001, la société SAS Carautoroutes devint le nouvel exploitant de l'installation.		'la société SAS Carautoroutes'
2011	03			2011	03				à_partir	A la demande du repreneur de la concession à savoir la société BP FRANCE, un diagnostic complémentaire du site avait été réalisé à partir de mars 2011, et transmis le 16 novembre 2011.		'la société BP FRANCE'
2012	05	15		2012	05	15			la_mise_en_place_d__un	Après inspection du site le 19 février 2014, il a été requis de l'exploitant la remise en état d'un réseau de surveillance de la qualité des eaux souterraines (abandon des piézomètres endommagés lors des travaux, implantation de nouveaux piézomètres) ainsi que la mise en place d'un suivi de la qualité des eaux superficielles conformément aux prescriptions de l'arrêté du 15 mai 2012.		
1995	08	18		1995	08	18			a_été_exploitée	Cette station-service a été exploitée sous le régime de la déclaration, l'exploitant ELF-ANTAR (TotalFinaElf) ayant été autorisé par arrêté préfectoral du 18 août 1995.	'service', 'TotalFinaElf'	'ELF - ANTAR'
2010	12	07		2010	12	07			l__état_des_lieux_environnemental	Après analyse de relevés piézométriques, un complément à l'état des lieux environnemental du 7 décembre 2010 a été remis le 23 décembre 2010.		
				2013	02				Les_opérations_de_dépollution	Les opérations de dépollution se sont poursuivies de façon discontinue jusqu'en février 2013, au fur et à mesure du réaménagement du site.		
2006				2006					a_été_significative	L'efficience de l'extraction triple phase a été significative au cours de l'année 2006, permettant la récupération d'un important volume de surnageant gazole/essence au toit de la nappe.	'surnageant gazole'	
2014				2014					Les_travaux_relatifs	Les travaux relatifs doivent se dérouler avant l'été 2014.		
2008	12			2008	12				unité_de_dépollution	L'unité de dépollution, arrivée en limite d’efficacité, a été arrêtée en décembre 2008.		
2002	07		2001	08	2002	07		2001	08		a_fonctionné	Ce traitement de "venting" a fonctionné d'août 2001 à juillet 2002 (date de repli de l'unité de venting).		
2012				2012					est_propriété_de	En 2012, le terrain est propriété de l'Etat (la société d'autoroute APRR en étant le concessionnaire et la société BP France étant titulaire d'une convention d'occupation temporaire du domaine public).		"la société d' autoroute APRR", 'la société BP France'
2011	12			2011	12				Une_étude_de_caractérisation	Une étude de caractérisation des eaux souterraines avant travaux a par ailleurs été réalisée en décembre 2011, au moyen de 6 piézomètres.		
2003	11	04		2003	11	04			a_été_tenue_d_	4 novembre 2003 : par arrêté préfectoral, la société Carautoroutes a été tenue d'effectuer un diagnostic approfondi et une évaluation détaillée des risques compte tenu de la présence d'une pollution aux hydrocarbures sur le site de l'établissement.	'hydrocarbures'	'la société Carautoroutes'
2012	03	14		2012	03	14			a_transmis	Le 14 mars 2012, la société BP France a transmis aux services de l’État compétents un dossier de déclaration relatif à la création de la nouvelle station-service sur l'emprise des terrains susvisés, ce qui nécessitait la réalisation préalable de la cessation d'activité de l'ancienne ICPE ainsi que des travaux de dépollution.		'la société BP France'
2012				2012					tout_au_long_de_l_	Des prélèvements d'air ambiant ont également été réalisés dans le périmètre du site tout au long de l'année 2012, lesquels ont mis en évidence des teneurs anormales quoique tolérables en hydrocarbures volatils (C5-C12) et benzène, toluène, xylène.	'hydrocarbures volatils', 'C5-C12', 'benzène', 'toluène', 'xylène'	
2013	12	12		2013	12	12			a_été_déposé	Un mémoire actant la fin des travaux de réhabilitation a été déposé le 2 septembre 2013, suivi de la remise d'un rapport de suivi de la qualité des eaux souterraines le 12 décembre 2013.		
2014	02	19		2014	02	19			la_remise_en_état_d_	Après inspection du site le 19 février 2014, il a été requis de l'exploitant la remise en état d'un réseau de surveillance de la qualité des eaux souterraines (abandon des piézomètres endommagés lors des travaux, implantation de nouveaux piézomètres) ainsi que la mise en place d'un suivi de la qualité des eaux superficielles conformément aux prescriptions de l'arrêté du 15 mai 2012.		
				2002					les_études_environnementales_menées	Malgré ces travaux, les études environnementales menées jusqu'en 2002 ont montré la persistance d'un impact en hydrocarbures, d'origine probablement ancienne, sur les sols de ce site.	'hydrocarbures'	
