Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2013			2004	2013			2004		quatorze_campagnes	La campagne de de suivi de la qualité des eaux souterraines et superficielles effectuée à l'issue des phases de travaux 1 et 2 s’est inscrite dans la continuité d’un suivi engagé depuis 2004 (quatorze campagnes sur la période 2004-2013) et a été réalisée conformément aux prescriptions de l’arrêté préfectoral du 15 mars 2004 relatif notamment à la surveillance des eaux souterraines et en adéquation avec les travaux de réhabilitation environnementale réalisés sur le site en 2013-2014.		
2007				2007					Renforcement	Renforcement de la surveillance des eaux souterraines et réalisation d’études selon la nouvelle méthodologie en matière de sites et sols pollués (à partir de 2007) :		
2006	01	06		2006	01	06			Une_évaluation_simplifiée_des_risques	Une évaluation simplifiée des risques - partie "usine" - a été réalisée par ATOS le 6 janvier 2006 (rapport NT-A5129-RT03).		
2007	10	24		2007	10	24			a_été_réalisé	Un suivi analytique des eaux souterraines a été réalisé par ATOS le 24 octobre 2007 (rapport RT-70750/S44) et a fait état :		
2014	05			2014	05				s__effectue_globalement	D’après l’esquisse piézométrique de mai 2014, le sens d’écoulement des eaux souterraines s’effectue globalement vers le Nord-ouest, confirmant le sens d’écoulement défini lors des campagnes précédentes.		
2007	03		2006			2005	2007	03		2006			2005		lors_des_campagnes	- d’un marquage aux hydrocarbures,  a été constaté pour la première fois sur le PZ4, alors que les teneurs en HCT n'étaient pas observées lors des campagnes de 2005, 2006 et mars 2007 (inférieure à 10 µg/l).	'hydrocarbures', 'en HCT'	
2013	01	14		2013	06	26			__s__est_déroulée	- la première phase consacrée aux travaux de dépollution des sols (et de déconstruction des bâtiments annexes) s'est déroulée du 14 janvier 2013 au 26 juin 2013.		
2013	11			2013	11				de_faire_procéder	(DIG) a décidé de faire procéder à une « reprise de zone » en novembre 2013 en procédant à des excavations  complémentaires pour améliorer la dépollution.		'( DIG'
2015				2015					a_été_informée	Or par la suite, début 2015, l’Inspection des Installations Classées a été informée que la mairie envisageait désormais de réaffecter l’ensemble de la partie du site qu’elle souhaitait acquérir pour l’usage de parking et promenade à la création d'un bassin de retenue d'eau de crues de la Corrèze car elle émettait des doutes quant à la résistance mécanique de la dalle pour un usage de parking.		
2004	05	18		2004	05	18			Une_étude_historique	Une étude historique et documentaire du site a été réalisée par HPC Environnement le 18 mai 2004 (rapport HPC-F 2A/2.03.0285 b).		'HPC Environnement'
2017	03	28		2017	03	28			__a_rédigé	L'Inspection des Installations Classées  a rédigé le "rapport de constat de fin de travaux" le  28 mars 2017 .		
1898				1898					a_fonctionné	Une usine hydroélectrique est ensuite installée sur le site et a fonctionné à partir de 1898.		
2015	01	20		2015	01	20			par_courrier	Cette option a été entérinée par l’Inspection des Installations Classées qui, par courrier du 20 janvier 2015, a demandé à EDF de mettre en œuvre la solution alors retenue ; la mairie en a été informée.		
2005	12	19		2005	12	19			a_été_réalisé	Un diagnostic complémentaire - étape B - a été réalisé par ATOS le 19 décembre 2005 (rapport NT-A5129-RT01).		'ATOS'
1961				1961					aux_graves_inondations	Suite aux graves inondations de 1961, l’ouvrage de retenue sur la Corrèze est démoli et les canaux d’amenée et de fuite sont comblés.		
2016	12	05		2016	12	05			a_remis	EDF a remis le 5 décembre 2016 l'ensemble des rapports de fin de travaux des phases 2 et 3.		
2015				2015					a_été_engagée_à_l_	En conséquence, la proposition d'EDF de finaliser son chantier en recouvrant la plate-forme d'une géomembrane (solution validée le 7 janvier 2015 par la DREAL), a été engagée à l'automne 2015.		'la DREAL'
2014			2013	2014			2013		les_travaux_de_réhabilitation_environnementale	La campagne de de suivi de la qualité des eaux souterraines et superficielles effectuée à l'issue des phases de travaux 1 et 2 s’est inscrite dans la continuité d’un suivi engagé depuis 2004 (quatorze campagnes sur la période 2004-2013) et a été réalisée conformément aux prescriptions de l’arrêté préfectoral du 15 mars 2004 relatif notamment à la surveillance des eaux souterraines et en adéquation avec les travaux de réhabilitation environnementale réalisés sur le site en 2013-2014.		
2012				2012					avait_approuvé	Celui-ci acte de la mise en œuvre effective du plan de gestion qu'elle avait approuvé en 2012, et tel qu'il a dû être amendé en fonction des constats de terrain et des études complémentaires menés de 2013 jusqu'à ce jour.		
2014	10	14		2014	10	14			a_informé	Par courrier du 14 octobre 2014, la mairie de Brive-la-Gaillarde a informé l'inspection que le projet de création d'un parking était abandonné.		'la mairie de Brive-la-Gaillarde'
1911				1925					ont_été_installées_en_appoint	Entre 1911 et 1925, 3 petites chaudières à charbon ont été installées en appoint.	'charbon'	
1898				1898					accueillait	Avant 1898, le site accueillait un moulin, le « Moulin des Bordes ».		
