Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2014	07	04		2014	07	04			a_été_signé	Les plans de gestions ayant été validés par la DREAL et le tiers expert, il a été proposé d'encadrer leur mise en œuvre par un arrêté préfectoral de prescriptions spéciales, dont le projet a reçu un avis favorable lors du CODERST du 19 juin 2014, et qui a été signé le 4 juillet 2014 (lien vers l'arrêté au chapitre "identification du site" situé en début de fiche, rubrique "plans cartographiques attachés").		'la DREAL', 'CODERST'
2013	06								sont_opérationnels	Les travaux de mise en sécurité des habitations (dépressurisation sous dalle pour la maison 19 et dalle béton pour la maison 17) ont été réalisés et les dispositifs installés sont opérationnels depuis juin 2013.		
1956									est_installée	L'usine LMB est installée depuis 1956 au 36 avenue Pierre et Marie Curie à  Malemort-sur-Corrèze, dans une zone à usage mixte industriel – résidentiel.		
2016	02	15		2016	02	15			a_remis	LMB a remis le 15 février 2016, l'ensemble des bilans de la surveillance environnementale de l'année 2015.		
2016	04			2016	04				la_dernière_campagne	Les résultats de la dernière campagne de surveillance réglementaire d'avril 2016 de la nappe et des gaz du sol montrent une tendance à la continuation de l'amélioration de la situation.		
2014	01	31		2014	01	31			a_été_remis	Le plan de gestion global a été remis le 31 janvier 2014 (rapport GMS 0158102- R2721) avec une version 2 en avril 2014 reprenant les recommandations du BRGM.		'BRGM'
2009	03	05		2009	03	05			rangée_sous_la_rubrique	Notons que le 16 novembre 2010, l'exploitant a informé la préfecture de l'arrêt définitif de l'activité de traitement de surface, rangée sous la rubrique n° 2565-2b et concernée par le récépissé du 5 mars 2009, et du démantèlement des installations correspondantes.		
				2013	09	19			ont_été_réalisés	Des prélèvements d'eaux souterraines, de gaz du sol, mais aussi d'air intérieur au sein de 5 habitations (dont les deux maisons ayant fait l'objet de travaux) ont été réalisés par l'INERIS entre le 16 et le 19 septembre 2013.		
2014	07	04		2014	07	04			la_mise_en_œuvre	Les travaux pour la mise en œuvre du plan de gestion sur le domaine privé, prescrit par l'arrêté du 4 juillet 2014, ont été réalisés en octobre 2015 et les dispositifs étaient opérationnels en décembre 2015.		
2011				2012					ont_été_menées	Afin de réaliser l'IEM, des investigations de terrains hors site ont été menées sur le domaine public de novembre 2011 à janvier 2012, et ce en accord avec la municipalité de Malemort-sur-Corrèze.		
2015	12			2015	12				étaient_opérationnels	Les travaux pour la mise en œuvre du plan de gestion sur le domaine privé, prescrit par l'arrêté du 4 juillet 2014, ont été réalisés en octobre 2015 et les dispositifs étaient opérationnels en décembre 2015.		
