Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1961				1961					l__implantation	Après l'implantation en 1961 de la société Kodak-Pathe sur la zone industrielle du Bois de Menuse, une "centrale énergie de Chalon-sur-Saône" a été mise en service vers 1964-1965.		'la société Kodak'
2017	12	21		2017	12	21			un_rapport_de_fin_de_travaux	Les travaux de remise en état du site on fait l'objet d'un rapport de fin de travaux en date du 21 décembre 2017 (procès-verbal de récolement).		
2007				2007					la_fin_des_activités	Avec la fin des activités de KODAK INDUSTRIE SA à Chalon-sur-Saône en 2007, la société COFATHEC SERVICES (groupe Gaz De France) a obtenu le transfert à son profit de l'autorisation d'exploiter les installations de la centrale, changement d'exploitant acté par récépissé de la préfecture en date du 10 juillet 2008.		'KODAK INDUSTRIE SA', 'la société COFATHEC SERVICES', 'groupe Gaz De France'
2008	07	10		2008	07	10			changement_d__exploitant	Avec la fin des activités de KODAK INDUSTRIE SA à Chalon-sur-Saône en 2007, la société COFATHEC SERVICES (groupe Gaz De France) a obtenu le transfert à son profit de l'autorisation d'exploiter les installations de la centrale, changement d'exploitant acté par récépissé de la préfecture en date du 10 juillet 2008.		'KODAK INDUSTRIE SA', 'la société COFATHEC SERVICES', 'groupe Gaz De France'
2012	11	07		2012	11	07			actée_par_récépissé	Le 4 janvier 2013 est intervenue la cessation totale d'activité des installations, faisant suite à la déclaration de l'exploitant transmise en préfecture le 3 octobre 2012 et actée par récépissé du 7 novembre 2012.		
				2004	12	16			mesures_de_dépollution	Le site de la "Centrale énergie de Chalon-sur-Saône" du Campus Kodak avait également fait l'objet de mesures de dépollution du 13 au 16 décembre 2004, suite à la découverte d'un très faible impact des sols par des PCB (polychlorobiphényles) au droit du même "bâtiment 12", lié à une ancienne zone de stockage d'huiles.	'des PCB', 'polychlorobiphényles'	
2013				2013					une_visite_d__inspection	Préalablement à la cessation d'activité du site annoncée par GDF SUEZ ÉNERGIE SERVICES pour 2013, une visite d'inspection en date du 7 février 2012 avait identifié des zones du site potentiellement "sensibles" du point de vue environnemental.		'GDF SUEZ ÉNERGIE SERVICES'
2008				2012					a_été_mis_en_œuvre	Un suivi de la qualité des eaux souterraines au droit des anciennes installations du "campus Kodak" a été mis en œuvre par KODAK INDUSTRIE SA entre 2008 et décembre 2012.		'Kodak', 'KODAK INDUSTRIE SA'
2013	01	04		2013	01	04			est_intervenue_la_cessation_totale_d__activité	Le 4 janvier 2013 est intervenue la cessation totale d'activité des installations, faisant suite à la déclaration de l'exploitant transmise en préfecture le 3 octobre 2012 et actée par récépissé du 7 novembre 2012.		
2012	06	08		07	2012	06	08		07		un_nouveau_diagnostic_des_sols	Par la suite un nouveau diagnostic des sols a été effectué les 7 et 8 juin 2012, par réalisation de 20 sondages et de prélèvements d'eaux souterraines au sein des piézomètres existants.		
2008				2012					a_exploité	GDF SUEZ Energie Services (ex COFATHEC Services) a exploité entre 2008 et 2012 la centrale thermique du Campus Industriel de Chalon-Nord (dit également "site" ou "campus Kodak") au nord de la commune de Chalon-sur-Saône.		'GDF SUEZ Energie Services', 'COFATHEC Services', 'Kodak'
2007				2007					Plusieurs_études	Plusieurs études de l'état environnemental du site avaient été conduites alors que celui-ci était exploité pour les besoins de KODAK INDUSTRIE avant 2007.		'KODAK INDUSTRIE'
2009				2009					a_exploité	Après 2009, GDF SUEZ ÉNERGIE SERVICES a exploité les installations sous la marque "COFELY", en raison du regroupement des activités de Cofathec (groupe GDF) et Elyo (groupe Suez).	'COFELY "'	'GDF SUEZ ÉNERGIE SERVICES', 'Cofathec', 'GDF', 'Elyo', 'Suez'
2007	12	31		2007	12	31			avait_été_détectée	Toutefois, une contamination des sols par des hydrocarbures avait été détectée au droit d'anciennes cuves et de leur caniveau, conséquence d'une fuite accidentelle de quelques mètres cubes de fioul lourd le 31 décembre 2007.	'hydrocarbures', 'fioul lourd'	
2007				2012					a_pu_persister	De ce fait, une pollution "historique" par des hydrocarbures a pu persister au droit et à proximité du "bâtiment 12" entre 2007 et 2012, tout au long de l'exploitation du site par GDF SUEZ ÉNERGIE SERVICES (ex COFATHEC SERVICES).	'hydrocarbures'	'GDF SUEZ ÉNERGIE SERVICES', 'COFATHEC SERVICES'
1997	09	04		1997	09	04			__régularisation	L'exploitation de cette centrale relevait du régime de l'autorisation au titre de la nomenclature des installations classées ; ses activités étaient encadrées par les arrêtés préfectoraux du 4 septembre 1997 (régularisation) et du 8 juin 2009 (prescriptions complémentaires).		
2000	10	26		2000	10	26			Les_opérations_de_dépollution	Les opérations de dépollution entreprises le 26 octobre 2000 ont permis l'excavation pour traitement en biocentre d'une partie des terres souillées.		
1965			1964	1965			1964		a_été_mise_en_service	Après l'implantation en 1961 de la société Kodak-Pathe sur la zone industrielle du Bois de Menuse, une "centrale énergie de Chalon-sur-Saône" a été mise en service vers 1964-1965.		'la société Kodak'
2012	02	07		2012	02	07			une_visite_d__inspection	Préalablement à la cessation d'activité du site annoncée par GDF SUEZ ÉNERGIE SERVICES pour 2013, une visite d'inspection en date du 7 février 2012 avait identifié des zones du site potentiellement "sensibles" du point de vue environnemental.		'GDF SUEZ ÉNERGIE SERVICES'
2012	10	09		2012	10	09			La_cessation_d__activité	La cessation d'activité ayant été déclarée le 9 octobre 2012, une visite d'inspection en date du 14 décembre 2012 a permis de constater la bonne mise en sécurité du site.		
2007				2007					avaient_été_conduites	Plusieurs études de l'état environnemental du site avaient été conduites alors que celui-ci était exploité pour les besoins de KODAK INDUSTRIE avant 2007.		'KODAK INDUSTRIE'
2000	07			2000	07				avait_mis_en_évidence	En juillet 2000, une étude de la qualité des sols et de la nappe phréatique réalisée pour le compte de Force Motrice Chalonnaise avait mis en évidence un impact par hydrocarbures localisé à proximité d'anciennes cuves de fioul, au nord du "bâtiment 12".	'hydrocarbures', 'fioul'	'Force Motrice Chalonnaise'
2007				2007					le_transfert	Avec la fin des activités de KODAK INDUSTRIE SA à Chalon-sur-Saône en 2007, la société COFATHEC SERVICES (groupe Gaz De France) a obtenu le transfert à son profit de l'autorisation d'exploiter les installations de la centrale, changement d'exploitant acté par récépissé de la préfecture en date du 10 juillet 2008.		'KODAK INDUSTRIE SA', 'la société COFATHEC SERVICES', 'groupe Gaz De France'
