Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2004	04			2004	04				un_diagnostic_de_pollution_de_sol	Dans le cadre d’une opération de cession/acquisition de l’usine FINIPAR à Epernon, un diagnostic de pollution de sol a été réalisé sur l’ensemble du site en avril 2004 afin de confirmer les résultats de la précédente campagne d’investigations de 2002 et de reconnaître l’état des sols ciblé au droit des activités anciennes et actuelles de l’usine FINIPAR.		
2012	03	02		2012	03	02			avait_constaté	Lors de l’inspection du 2 mars 2012, l’inspection des installations classées avait constaté au niveau des locaux administratifs, la présence de dalles de sol contenant de l’amiante selon un rapport VERITAS dans un état légèrement dégradé.	'amiante'	'VERITAS'
2011				2011					s__appelle_désormais	-	en 2011, CIEL s’appelle désormais SCIENTIS.		'CIEL', 'SCIENTIS'
2011				2011					deux_prélèvements_complémentaires	En 2011, deux prélèvements complémentaires de gaz du sol ont été réalisés près du sondage réalisé en 2010 dans les ateliers, ces derniers confirment des teneurs importantes en COHV de BTEX et d’hydrocarbures volatils.	'COHV', 'BTEX', 'd’ hydrocarbures volatils'	
2012	03	02		2012	03	02			un_diagnostic_complémentaire	A la demande de l’inspection des installations classées suite à sa visite du site du 2 mars 2012, un diagnostic complémentaire d’impact du sous-sol au niveau de deux cuves d’alcools enterrées a été réalisé en 2012.		
2002				2002					la_précédente_campagne_d__investigations	Dans le cadre d’une opération de cession/acquisition de l’usine FINIPAR à Epernon, un diagnostic de pollution de sol a été réalisé sur l’ensemble du site en avril 2004 afin de confirmer les résultats de la précédente campagne d’investigations de 2002 et de reconnaître l’état des sols ciblé au droit des activités anciennes et actuelles de l’usine FINIPAR.		
2002				2002					Une_première_campagne_de_sondage	Une première campagne de sondage a été effectuée en 2002 à l’initiative des anciens exploitants, la société RECKITT BENCKISER : 7 sondages carrotés sont réalisés : tous au droit de cuves et fosses susceptibles d’être à l’origine d’une pollution.		'la société RECKITT', 'BENCKISER'
2012	05	25		2012	05	25			a_fourni_par_courrier	L’inspection des installations classées ayant demandé dans son rapport du 22 mars 2012 de justifier cette affirmation, la société SCIENTIS a fourni par courrier du 25 mai 2012 une « note complémentaire sur la présence de traces de COHV et BTEX dans les gaz du sol et dans l’air ambiant – Recherche des origines » (Rapport du bureau d’études EGIS).	'COHV', 'BTEX'	'la société SCIENTIS'
1972				1986					a_été_exploité	Entre 1972 et 1986, le site a été exploité par la société STUP FREYSSINET soumise à déclaration qui exerçait une activité de révision de vérins et pompes hydrauliques, d’usinage de pièces de rechange pour ces matériels et d’essais de traction de câbles en acier destinés à la précontrainte du béton.		'la société STUP FREYSSINET'
2003	04	08		2003	04	08			a_fait_l__objet_d_	Elle a fait l’objet d’un récépissé de changement d’exploitant le 8 avril 2003.		
