Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2011	04	13		2011	04	13			une_visite	Dans ce cadre et sans attendre la mise en liquidation judiciaire, une visite conjointe ADEME - DREAL du site THEMEROIL a été réalisée le 13 avril 2011 afin que l'ADEME puisse commencer à travailler sur le contenu des mesures de mise en sécurité à mettre en œuvre qui nécessiteront, avant toute intervention de l'agence, l'accord du ministère en charge du développement durable.		'DREAL', 'THEMEROIL'
2015	04	01		2015	04	01			__la_sécurisation_du_site	- au 01 avril 2015 : la sécurisation du site, (condamnation des ouvertures des bâtiments encore en place, pose d'une grille sur les fosses encore ouvertes, réparation du portail, panneaux interdisant l'accès au site).		
2011	04	28		2011	04	28			a_été_mise_en_liquidation_judiciaire	Par jugement du tribunal de commerce de Chalon-sur-Saône en date du 28 avril 2011, la société THEMEROIL a été mise en liquidation judiciaire.		'la société THEMEROIL'
2010	07	15		07	2010	07	15		07		ont_constaté	Les 7 et 15 juillet 2010, des inspecteurs des installations classées ont constaté que des prescriptions dont l'échéance était écoulée n'avaient pas été respectées.		
2015	02	16		2015	02	16			a_chargé	Aussi et par arrêté en date du 16 février 2015, le Préfet a chargé l'ADEME de procéder à l'exécution des évaluations et travaux suivants :		'le Préfet'
2000				2000					a_été_arrêté	Ce système se révélant inefficace, il a été arrêté en 2000.		
2015	03			2015	03				Une_campagne_d__investigation	Une campagne d'investigation des eaux a été réalisée en mars 2015 , venant confirmé les impacts dans les eaux souterraines et préconisant une réduction chimique de la nappe ainsi qu'un malaxage , ainsi qu'une évacuation de terre imbibée et de déchets.		
				2013					Des_travaux_d__enlèvement	Des travaux d'enlèvement des déchets enfouis et de terres imbibées ont été réalisés de juillet à septembre 2013.		
2011	01	12		2011	01	12			une_nouvelle_visite_d__inspection	A l'issue des échéances de mise en conformité fixées par l'arrêté préfectoral de mise en demeure du 4 octobre 2010, une nouvelle visite d'inspection a été diligentée le 12 janvier 2011.		
2009	12			2009	12				une_étude	La société a remis une étude en décembre 2009 montrant une contamination aux PCB des terres sur certaines zones du site et dans les fossés extérieurs à proximité.	'PCB'	'La société'
2010	09	17		2010	09	17			Une_nouvelle_inspection_a_été_réalisée	Une nouvelle inspection a été réalisée le 17 septembre 2010 afin de vérifier le respect des échéances fixées par l'arrêté préfectoral complémentaire du 7 juin 2010 d'une part et l'arrêté préfectoral de mise en demeure du 2 août 2010 d'autre part.		
2016	10	31		2016	10	31			____remise	- au 31 octobre 2016 : remise des études de dimensionnement technique et financier de l'opération de confinement sur la totalité du site avec couverture végétale et du comblement de la fenêtre d'infiltration vers la nappe souterraine identifiée au droit de la zone centrale par de l'argile saine.		
1975									ont_été_enregistrés	Depuis 1975, plusieurs plaintes et constats de pollution ont été enregistrés.		
2011	02	24		2011	02	24			a_ouvert_une_procédure_de_redressement_judiciaire	Par jugement en date du 24 février 2011, le tribunal de commerce de Chalon-sur-Saône a ouvert une procédure de redressement judiciaire à l'égard de la société HUILES THEMEROIL, avec une période d'observation limitée à six mois.		'la société HUILES THEMEROIL'
2009	07	24		2009	07	24			a_signé	Sur proposition de l'inspection des installations classées, le préfet de Saône et Loire a signé un arrêté de mesures d'urgence le 24 juillet 2009 afin de :		'le préfet de Saône'
