Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2009	12	07		2009	12	07			est_remis	Le plan de gestion ANTEA est remis le 7 décembre 2009 et complété le 05 mars 2010.		'de gestion ANTEA'
2010	01	20		19	2010	01	20		19		Les_échanges	Les échanges entre l’ADEME et l’inspection pour finalisation du programme de travaux ont démarré les 19 et 20/01/2010 avec la visite du site par l’ADEME.		'l’ ADEME'
2009	02	24		2009	02	24			la_vidange_immédiate	Faute d'exécution et sur proposition de la DRIRE du 24 février 2009, l'arrêté préfectoral du 23 mars 2009 prescrit, en urgence, la vidange immédiate et le traitement du bassin de 350 m3 de lixiviats concentrés et, sous 1 mois, le soutirage et le traitement des lixiviats présents dans les casiers de façon à en limiter la charge hydraulique pour en préserver l'intégrité.		'la DRIRE'
2014				2014					débuteront	L'année 2013 A été consacrée à la définition des travaux et à l'appel d'offres pour une première tranche de travaux qui débuteront en 2014. le retard a conduit à la remise de l'avant-projet de travaux en septembre 2014.		
2007	06	11		2007	06	11			la_mise_à_l__arrêt_définitive	Le 11 juin 2007, l'exploitant notifie au Préfet la mise à l'arrêt définitive du site.		
2011	02	28		2011	02	28			L__arrêté_de_travaux	L'arrêté de travaux du 28/02/2011 prescrit en son article 10, l'étude d'extension de l'impact de la pollution dans la nappe et la proposition de solutions de traitement éventuel.		
2007	07	12		2007	07	12			reçoit	Le 12 juillet 2007, la DRIRE reçoit le dossier de remise en état des zones B et C, intégré dans un document intitulé "Notice de remise en état".		'la DRIRE'
2011	04	11		2011	04	11			fait_appel_aux_compétences	Le 11/04/2011, la mairie d'Augenge fait appel aux compétences de l'ADEME pour une mission d'assistance à la rédaction du cahier de charges.		
2011	08			2011	08				est_remise	La proposition de l'ADEME est remise en août 2011.		
									d__effectuer_sa_réhabilitation	Sur proposition de la DRIRE du 1er/10/2008, l'arrêté préfectoral du 17/10/2008 met la mairie d'Audenge en demeure de réaliser les travaux de mise en conformité de l'ensemble du site de la décharge dans un délai de 1 mois, et d'effectuer sa réhabilitation ainsi que celle de la zone A dans le délai de 6 mois.		'la DRIRE', "la mairie d' Audenge"
