Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2008				2008					a_définitivement_été_arrêtée	L’activité de traitement de bois a définitivement été arrêtée en fin d’année 2008.		
2008	04	29		2008	04	29			la_campagne_d__analyse	Au cours de la campagne d'analyse du 29 avril 2008, l'eau du forage agricole voisin a été analysée mais le nivellement des piézomètres non réalisé.		
2005				2005					du_diagnostic	L'impact pérenne sur la nappe nécessite l'actualisation du diagnostic de 2005 pour en connaître l'origine.		
2016	04	1		2016	04	1			s__installe_en_lieu	Le 1er avril 2016, BMSO s'installe en lieu et place de CEM DIP (filière à 100% de BMSO) sur le site de Lesperon, bail consenti avec le propriétaire SCI PP SUD OUEST jusqu'au 30 septembre 2016.		'BMSO', 'CEM DIP', 'BMSO', 'le propriétaire SCI PP SUD OUEST'
2009	09	29		2009	09	29			la_campagne_d__analyse	Au cours de la campagne d'analyse du 29 septembre 2009 (basses eaux), les analyses continuent à montrer une incidence notable sur l'eau de la nappe en PZ1 : 28 microgrammes/l de Propiconazole et 8,1 microgrammes/l de Tébuconazole.	'Propiconazole', 'Tébuconazole'	
2008									est_arrêté	Il faut rappeler que l'activité traitement du bois est arrêté depuis 2008.		
2011	09			2011	09				La_campagne_de	La campagne de septembre 2011  montre une contamination pérenne par le propiconazole et le tébuconazole en PZ1.	'par le propiconazole'	'le tébuconazole en PZ1'
				2016	09	30			s__installe_en_lieu	Le 1er avril 2016, BMSO s'installe en lieu et place de CEM DIP (filière à 100% de BMSO) sur le site de Lesperon, bail consenti avec le propriétaire SCI PP SUD OUEST jusqu'au 30 septembre 2016.		'BMSO', 'CEM DIP', 'BMSO', 'le propriétaire SCI PP SUD OUEST'
2013	09			2013	09				pendant_la_campagne_de	. propiconazole (en µg/ l) : 1,03 (2006/2) ; 0,22 (2009/2) ;  0,58 (2010/2) ; 0,42 (2011/1) ; 0,34 (2013/1) ; forte croissance pendant la campagne de septembre 2013 = 23 ; 4,8 (2014/1) ;	'propiconazole'	
2008	09	15		2008	09	15			a_été_réalisé	Au cours de la campagne d'analyse du 15 septembre 2008, le nivellement des piézomètres a été réalisé: la nappe s'écoule vers l'Ouest, vers le PZ1.		
2016	12	13		2017	03	24			a_été_installé	Le dispositif a été installé sur le site du 13 décembre 2016 au 24 mars 2017:		
2017	03	24		2017	03	24			a_été_mis_en_service_automatisé	Le dispositif de traitement a été mis en service automatisé le 24 mars 2017.		
2006									est_effectuée	Depuis le second semestre 2006 (hormis l’année 2007), une surveillance (2 fois par an) est effectuée au droit des 3 piézomètres, du forage agricole mentionné dans le point 6 du présent rapport.		
2014	06	16		2014	06	16			L__information	L'information a été portée à la connaissance de l'inspection le 16/06/2014.		
2013	09			2013	09				la_campagne	-	il est à retenir qu’une contamination en propiconazole et en tébuconazole subsiste, principalement sur le piézomètre PZ1 (aval - implanté à l’Ouest du site) avec une très forte croissance pour le propiconazole, constatée sur les analyses de la campagne de septembre 2013 (concentration de 240 µg/l - il est à noter qu’en référence à l’arrêté ministériel du 11 janvier 2007 relatif aux limites et références de qualité des eaux brutes et des eaux destinées à la consommation humaine mentionnées aux articles R. 1321-2, R. 1321-3, R. 1321-7 et R. 1321-38 du code de la santé publique, la valeur limite de qualité pour cette substance est donnée à 0,1 µg/l).	'propiconazole', 'tébuconazole', 'le propiconazole'	
2011	03			2011	03				La_campagne_de	La campagne de mars 2011  montre une contamination pérenne par le propiconazole  et le tébuconazole  en PZ1.	'par le propiconazole', 'le tébuconazole   en'	
2017				2017					devient_propriétaire_des_lieux	Début 2017, ARBA 40 devient propriétaire des lieux mais BMSO continue à prendre en charge la remise en état du site.		'ARBA 40', 'BMSO'
2016				2016					Les_travaux_ont_débuté	Les travaux ont débuté fin 2016.		
2009				2009					a_cessé_ses_activités	Cette société a cessé ses activités sur le site de Lesperon en 2009.		
2014	04	07		2014	04	07			est_occupé	Le 07/04/2014, le site est occupé par trois bâtiments industriels et deux habitations, dont la première est utilisée comme réfectoire par les membres du personnel de la société ARBA 40 et la seconde est abandonnée.		'la société ARBA 40'
2017	03	09		2017	03	09			réalisée_avant_les_travaux	BMSO doit également transmettre à l'administration les derniers résultats de la surveillance des eaux souterraines réalisée avant les travaux le 9 mars 2017.		'BMSO'
2010	03								des_campagnes_de_mesurage	Depuis mars 2010, l’exploitant fait réaliser des campagnes de mesurage au droit d’un puits situé chez un de ses voisins situé à l'aval Sud-Ouest du site par rapport à l'écoulement de la nappe.		
2009	03	17		2009	03	17			la_campagne_d__analyse	Au cours de la campagne d'analyse du 17 mars 2009 (hautes eaux), les analyses continuent à montrer une incidence notable sur l'eau de la nappe en PZ1 : 20,2 microgrammes/l de Propiconazole et 7,2 microgrammes/l de Tébuconazole.	'Propiconazole', 'Tébuconazole'	
2010				2010					loue	En 2010, CEM DIP loue le site dans son intégralité (terrains et bâtiments industriels) à la société ARBA 40 pour la fabrication de charpentes en bois.		'CEM DIP', 'la société ARBA 40'
2014	04	07		2014	04	07			d__inspection	Suite à la visite d'inspection du 07/04/2014 et de l'analyse des données environnementales disponibles, l'inspection envisage de proposer au Préfet la prescrire à la CEM DIP la proposition de mesures de gestion pour assurer la mis en sécurité du site, supprimer et/ou maîtriser les sources de pollution et les impacts sur la nappe.		'CEM DIP'
2008	09	15		2008	09	15			la_campagne_d__analyse	Au cours de la campagne d'analyse du 15 septembre 2008, le nivellement des piézomètres a été réalisé: la nappe s'écoule vers l'Ouest, vers le PZ1.		
2005				2005					du_diagnostic	L'impact pérenne sur la nappe nécessite l'actualisation du diagnostic de 2005 pour en connaître l'origine et engager les éventuelles solutions de rémédiation.		
2017	05	17		2017	05	17			Une_visite_d__inspection_sur_site_a_été_réalisée	Une visite d'inspection sur site a été réalisée par l'inspection des Installations Classées le 17 mai 2017.		
2016				2016					garde_la_remise_en_état_du_site	Au niveau administratif, il est demandé à BMSO de fournir tout justificatif  du changement de propriétaire (ARBA 40 à présent) ainsi que la convention signée avec cette société par laquelle BMSO garde la remise en état du site avec SITA Remédiation (filiale de SUEZ) qui a débuté les travaux fin 2016.		'BMSO', 'propriétaire ( ARBA 40', 'laquelle BMSO', 'avec SITA Remédiation', 'de SUEZ'
2008	04	29		2008	04	29			a_été_analysée	Au cours de la campagne d'analyse du 29 avril 2008, l'eau du forage agricole voisin a été analysée mais le nivellement des piézomètres non réalisé.		
2017									est_propriétaire_des_lieux	ARBA 40 est propriétaire des lieux depuis le début de l'année 2017.		'ARBA 40'
