Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2019				2019					ETUDE_GÉOLOGIQUE	ETUDE GÉOLOGIQUE ET HYDROGÉOLOGIQUE 2019		'ETUDE GÉOLOGIQUE ET HYDROGÉOLOGIQUE 2019'
2000				2000					a_été_fermé	Il a été fermé puis réhabilite en l'an 2000, sous la responsabilité de la société PEM (responsable actuel : Rio Tinto).	': Rio Tinto'	'société PEM'
1998	11	09		1998	11	09			un_avis_remis	Les principales phases du réaménagement de la décharge, sur la base d'un projet élaboré par PEM le 23 août 1996 et approuvé par un hydrogéologue dans un avis remis le 9 novembre 1998 ainsi que par la police de l'eau le 4 décembre 1998, ont été les suivantes :		'PEM'
2018	05			2018	05				rapport_transmis	ARKEMA et Pechiney Bâtiment ont produit uniquement un inventaire des puits privés situés à l’aval du site historique de Chedde (rapport transmis en mai 2018 et complété en octobre 2018).		'ARKEMA', 'Pechiney Bâtiment'
									ne_fait_pas_l__objet	Au 9/08/19 le site ne fait pas l’objet de servitudes d’utilité publique ni n’est classé en secteur d’information sur les sols.		
1981				1989					elle_occupe	Employant près de 200 personnes, elle occupe la majeure partie de l’emprise maximale du site au milieu des années 1980 (11,5 ha sur 14).		
2017	04	12		2017	04	12			Une_visite_menée	Une visite menée le 12 avril 2017 a permis de constater que le site de l’ancienne décharge était correctement entretenu et surveillé.		
2003	01	09		2003	01	09			prescrit	Un arrêté préfectoral prescrit à la société PEM le 9 janvier 2003 a défini la fréquence (annuelle) et la nature du suivi des eaux souterraines à réaliser (liste des paramètres : fer, chrome total, chrome hexavalent, fluorures, manganèse, conductivité, pH).	'fer', 'chrome total', 'chrome hexavalent', 'fluorures', 'manganèse', 'pH'	'la société PEM'
2018	03			2018	03				sont_opérationnels	Concernant les eaux souterraines, 6 piézomètres sont opérationnels dans le périmètre de la décharge, dont 2 complémentaires installés en mars 2018. 3 piézomètres situés en dehors du site historique de Chedde, en aval de la décharge, dans l’emprise de l’usine d’incinération de Passy (SITOM des Vallées du Mont Blanc), ont été intégrés au dispositif depuis septembre 2018.		'SITOM des'
1997	11			1997	11				une_étude_réalisée	Par ailleurs, une étude réalisée en novembre 1997 par un organisme spécialisé à la demande de l'inspection a permis de confirmer que la décharge n'était le siège d'aucun écoulement saturé : les eaux pluviales qui s'infiltrent au sommet transitent par l'épaisseur végétale puis sont drainées latéralement par la couche du tout venant avant de s'infiltrer dans le sol naturel.		
