Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2009	11	02		2009	11	02			un_prélèvement_de_sol	La société SN Challenger avait effectué un prélèvement de sol en date du 02/11/2009 sur chacun des deux merlons 1 et 2, ainsi dénommé dans l'étude SOGREAH de Septembre 2010, de l'ancienne décharge.		'La société SN Challenger', 'SOGREAH'
2004	03	19		2004	03	19			déposer_un_dossier_de_remise_en_état	En conséquence, la Mairie de LANTON a fait l’objet, pour cette ancienne décharge d’un arrêté de mise en demeure de déposer un dossier de remise en état, daté du 19/03/2004.		'la Mairie de LANTON'
2001									est_mis_en_place	Depuis 2001, un tri sélectif est mis en place.		
2010	09			2010	09				l__étude	En date du 04/06/2010, un prélèvement des eaux souterraines a été effectué dans le piézomètre amont Pz1, puis les deux piézomètres avals Pz2 et Pz3, ainsi dénommé dans l'étude SOGREAH de Septembre 2010.		'SOGREAH'
2001	10			2001	10				des_mesures	En Octobre 2001, des mesures de la qualité des biogaz présents au sein de la décharge ont été réalisées au droit du sondage issu du piézomètre Pz2, ainsi dénommé dans l'étude AMDE de Novembre 2001.		
2001	10	19		2001	10	19			un_prélèvement	En date du 19/10/2001, un prélèvement des eaux souterraines a été effectué dans le piézomètre amont Pz1, puis les deux piézomètres avals Pz3 et Pz2, ainsi dénommés dans l'étude AMDE de Novembre 2001.		
1976				1976					L__exploitation	L'exploitation de la décharge aurait débuté en 1976.		
2013	07	11		2013	07	11			principe_a_été_donné	Le 25/02/2013, le Maire de Lanton a saisi la COBAN pour la prise en charge technique et financière des études et des travaux de réhabilitation de la décharge.  Un accord de principe a été donné par la COBAN le 11 juillet 2013 en demandant au maire d'isoler les merlons de la décharge du reste des terrains mis à disposition de la société Nouvelle Challenger.		'le Maire', 'la COBAN', 'par la COBAN', 'de la société Nouvelle Challenger'
2004	07			2004	07				a_transmis	Par transmission du 27/09/2004, la commune de LANTON a transmis un dossier complémentaire réalisé par la société TEREO en Juillet 2004.		'la commune de LANTON', 'la société TEREO'
2004	09	27		2004	09	27			a_transmis	Par transmission du 27/09/2004, la commune de LANTON a transmis un dossier complémentaire réalisé par la société TEREO en Juillet 2004.		'la commune de LANTON', 'la société TEREO'
2004	07			2004	07				étude_TEREO	En date du 07/06/2004, un prélèvement des eaux souterraines a été effectué dans le piézomètre amont Pz1, puis le piézomètre aval Pz3 et en date du 23/06/2004 dans le piézomètre aval Pz4, ainsi dénommé dans l'étude TEREO de Juillet 2004.		
2004	07			2004	07				réalisé	Par transmission du 27/09/2004, la commune de LANTON a transmis un dossier complémentaire réalisé par la société TEREO en Juillet 2004.		'la commune de LANTON', 'la société TEREO'
2004	05			2004	05				a_fait_parvenir	Par transmission du 08/06/2004, la commune de LANTON a fait parvenir au Préfet de la Gironde, un dossier de réhabilitation, réalisé par la société EREA en Mai 2004, une étude simplifiée des impacts réalisé par la société AMDE en Novembre 2001 ainsi qu'un diagnostic simplifié réalisé par la société AMDE en Août 2001.		'la commune de LANTON', 'Préfet de la Gironde', 'la société EREA', 'la société AMDE', 'la société AMDE'
2004	07			2004	07				un_prélèvement_des_eaux_souterraines	En date du 07/06/2004, un prélèvement des eaux souterraines a été effectué dans le piézomètre amont Pz1, puis le piézomètre aval Pz3 et en date du 23/06/2004 dans le piézomètre aval Pz4, ainsi dénommé dans l'étude TEREO de Juillet 2004.		
2001	11			2001	11				réalisé_par	Par transmission du 08/06/2004, la commune de LANTON a fait parvenir au Préfet de la Gironde, un dossier de réhabilitation, réalisé par la société EREA en Mai 2004, une étude simplifiée des impacts réalisé par la société AMDE en Novembre 2001 ainsi qu'un diagnostic simplifié réalisé par la société AMDE en Août 2001.		'la commune de LANTON', 'Préfet de la Gironde', 'la société EREA', 'la société AMDE', 'la société AMDE'
1976				1994					aurait_été_exploitée	La décharge aurait été exploitée entre 1976 et 1994, l'exploitation aurait été réalisée par des dépôts sauvages de tout type de déchets hors ordures ménagères, avec brûlage des déchets verts.		
									prescrit_la_remise	L'arrêté préfectoral du 27 juillet 2012 prescrit la remise d'un dossier, 2 mois avant la fin des travaux, en vue de l'institution d'une servitude d'utilité publique (SUP).		
2004	03	19		2004	03	19			a_fait_l__objet	En conséquence, la Mairie de LANTON a fait l’objet, pour cette ancienne décharge d’un arrêté de mise en demeure de déposer un dossier de remise en état, daté du 19/03/2004.		'la Mairie de LANTON'
2011	07	08			2010	08	31	2011	07	08			2010	08	31		Par_transmission	Par transmission du 31/08/2010 et le 08/07/2011, la société SN CHALLENGER a remis un dossier de remise en état, réalisé par la société SOGREAH, de son site implanté au lieu-dit " Bois de l'Église " sur la commune de LANTON.		'la société SN CHALLENGER', 'la société SOGREAH'
2010	06	04		2010	06	04			un_prélèvement_des_eaux_souterraines	En date du 04/06/2010, un prélèvement des eaux souterraines a été effectué dans le piézomètre amont Pz1, puis les deux piézomètres avals Pz2 et Pz3, ainsi dénommé dans l'étude SOGREAH de Septembre 2010.		'SOGREAH'
2004	05			2004	05				réalisé	Par transmission du 08/06/2004, la commune de LANTON a fait parvenir au Préfet de la Gironde, un dossier de réhabilitation, réalisé par la société EREA en Mai 2004, une étude simplifiée des impacts réalisé par la société AMDE en Novembre 2001 ainsi qu'un diagnostic simplifié réalisé par la société AMDE en Août 2001.		'la commune de LANTON', 'Préfet de la Gironde', 'la société EREA', 'la société AMDE', 'la société AMDE'
2010	06	10		2010	06	10			ont_été_réalisés	Enfin, dans le cadre de l'étude SOGREAH, en date du 10/06/2010, quatre sondages ont été réalisés dans chacun des deux merlons 1 et 2 de l'ancienne décharge à l'aide d'une pelle mécanique.		'SOGREAH'
