Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2015	03	17		2015	03	17			a_été_pris	Sur la base d’un porter à connaissance du 11 décembre 2014 adressé par le préfet au Maire de la Commune de La Possonnière, un nouvel arrêté municipal a été pris en date du 17 mars 2015 pour préciser d’une part, le périmètre concerné par la restriction d’usage sur les eaux, et d’autre part la nature de la restriction d’usage.		'le préfet'
2001				2009					ont_comporté	Ces activités ont comporté dans le passé un traitement de cadmiage, chaîne supprimée avant les années 2000.	'cadmiage'	
2016	11		06	2016	11		06		Les_deux_premières_campagnes_de_surveillance	Les deux premières campagnes de surveillance ont été réalisées par l’APAVE en juin et novembre 2016.		'l’ APAVE'
2015	03	17		2015	03	17			Il_est_donc_apparu_nécessaire_de_modifier	Il est donc apparu nécessaire de modifier les contraintes d’usage sur une partie du secteur situé au sein du périmètre de restriction d’usage déjà en place au travers de l’arrêté municipal du 17 mars 2015.		
2009				2009					a_été_menée	Compte tenu de l’impact confirmé en composés chlorés dans les eaux souterraines hors site et au vu des usages connus des eaux de la nappe (arrosage des potagers, remplissage de piscines), une première approche des risques sanitaires a été menée fin 2009.	'composés chlorés'	
2004	09	30		2004	09	30			la_réalisation_d__une_étude_détaillée_des_risques	* la mise en place d'une surveillance des eaux souterraines puis la réalisation d'une étude détaillée des risques avant le 30 septembre 2004.		
2004									arrêtées	Les dernières chaînes, arrêtées depuis début 2004 comprenaient essentiellement, une chaîne de zingage acide tonneaux, 2 chaînes de zingage attache, une chaîne d'oxydation anodique et une machine de dégraissage au trichloréthylène.	'anodique', 'trichloréthylène'	
2004	05			2004	05				la_liquidation_de	Suite à la liquidation de l'entreprise en mai 2004, les procédures administratives mises en œuvre ont conduit au constat d'insolvabilité de l'entreprise pour assurer la mise en sécurité du site.		
2010				2010					un_diagnostic_complémentaire_hors_site	Afin de s'assurer de la compatibilité des usages avec l'état des milieux, un diagnostic complémentaire hors site, suivi d'une interprétation de l'état des milieux (IEM), a été réalisé en 2010.		
2008				2009					une_étude_historique	Les travaux ont comporté une étude historique du site suivie d'investigations de terrain réalisées entre mai 2008 et octobre 2009, au droit du site, ainsi qu’à l’extérieur du site.		
2017	05	22		2017	05	22			a_été_adressé	Un porter à connaissance a été adressé au maire de la Possonnière en date du 22 mai 2017 afin qu’il dispose des dernières informations sur la qualité des eaux souterraines au droit et en aval hydrogéologique du site, et qu’il procède à la modification de l’arrêté municipal de restriction d’usage des eaux souterraines en intégrant les nouvelles restrictions.		
2004	05	24		2004	05	24			a_imposé	Le 24/05/2004, un arrêté préfectoral complémentaire a imposé à l'exploitant :		
2008				2011					réalisé	Le diagnostic approfondi et l’interprétation de l’état des milieux réalisé entre 2008 et 2011 ont permis d’apporter des informations nouvelles sur l’extension de la pollution hors site et sur la nature exacte des usages incompatibles avec la qualité de l’eau de la nappe.		
2014	06	20		2014	06	20			énergie_a_donné	En date du 20/06/2014, le Ministère de l'écologie, du développement durable et de l'énergie a donné son accord pour une intervention de l’ADEME afin de réaliser cette surveillance.		
2009			2008	2009			2008		des_investigations	A l’issue de ces deux campagnes, les résultats d’analyses mettent en évidence une situation globalement stable, voire à la baisse, comparativement à celle observée lors des investigations de 2008-2009 et l’IEM de 2010.		
2004	05	12		2004	05	12			La_liquidation_judiciaire	La liquidation judiciaire du dernier exploitant a été prononcée par jugement du tribunal de commerce de Rennes le 12 mai 2004.		
2006	05			2006	05				L__enlèvement_des_déchets_s__est_achevé	L'enlèvement des déchets s'est achevé début mai 2006.		
2005	06	08		2005	06	08			a_donné	La Commission Nationale des Aides (CNA) a donné un avis favorable, le 8 juin 2005, pour confier à l'ADEME l'enlèvement et l'élimination des déchets dangereux stockés sur le site.	'des déchets dangereux'	'La Commission Nationale'
2015	02	24		2015	02	24			desssous___ont_ainsi_été_pris	Deux arrêtés préfectoraux portant sur l’occupation temporaire des terrains par l’ADEME (loi du 29 décembre 1892) et l’exécution de travaux d’office (surveillance et dossier de servitudes - cf. point « restrictions d’usage » ci-desssous) ont ainsi été pris en date du 24 février 2015.		
2016	11			2016	11				la_campagne	* sur site, les concentrations mesurées dans le piézomètre Pz1 situé au nord du site présentent une forte hausse par rapport aux valeurs mesurées en 2008-2009, pour les paramètres trichloroéthylène (310 000 µg/l contre 104 000 en 2009), cis-1,2-dichloroéthène (54 000 µg/l contre 13 200 en 2009), et chlorure de vinyle (8100 µg/l contre 138 en 2009), plus particulièrement sur la campagne de novembre 2016.	'les paramètres trichloroéthylène', 'cis-1,2-dichloroéthène', 'chlorure de vinyle'	
2005	02	02		2005	02	02			a_donné_son_accord	Par courrier du 2 février 2005, le Ministère de l'Ecologie et du Développement Durable a donné son accord au préfet du Maine-et-Loire pour confier à l'ADEME l'étude des conditions financières et techniques de mise en sécurité du site.		"le Ministère de l' Ecologie"
2005				2005					avaient_toutes_été_vidangées	En 2005, les chaînes de traitement de surface avaient toutes été vidangées de leur bain; les produits chimiques correspondants et les déchets étaient encore présents en quantité importante (environ 60 tonnes) et stockés dans un local fermé à clé.	'les produits chimiques', 'les déchets'	
2014	06	20		2014	06	20			a_donné	En date du 20 juin 2014, le ministère de l'écologie, du développement durable et de l'énergie a donné son accord pour une intervention de l’ADEME afin de réaliser ce dossier de servitudes d’utilité publique.		'le ministère'
2001	10	22		2001	10	22			extension	Le site a fait l'objet fin 2003 d'une évaluation simplifiée des risques, prescrite par l'arrêté d'autorisation d'extension du 22/10/2001, qui a conclu à un classement du site en classe 1 (site nécessitant un diagnostic approfondi et une évaluation détaillée des risques) pour les sources de pollution constituées de solvants chlorés (notamment trichloréthylène et produits de dégradation) et de métaux (cadmium, chrome VI).	'solvants chlorés', 'notamment trichloréthylène', 'métaux', 'cadmium', 'chrome VI'	
2004	05			2004	05				de_fournir	* de fournir courant mai 2004 ses propositions de mesures, accompagnées d'un calendrier de mise en oeuvre, pour prévenir la migration de la pollution en dehors du périmètre de l'usine,		
2004	02			2004	02				Une_analyse	Une analyse des eaux souterraines a été effectuée en février 2004, en application de l'arrêté de mesures d'urgence du 19/01/2004, et a montré que la pollution par les solvants chlorés sort du périmètre du site et affecte les puits riverains.	'solvants chlorés'	
2004	05			2004	05				constat_d__insolvabilité	Suite à la liquidation de l'entreprise en mai 2004, les procédures administratives mises en œuvre ont conduit au constat d'insolvabilité de l'entreprise pour assurer la mise en sécurité du site.		
2004	09	30		2004	09	30			la_mise_en_place_d__une	* la mise en place d'une surveillance des eaux souterraines puis la réalisation d'une étude détaillée des risques avant le 30 septembre 2004.		
