Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2009	07			2009	07				la_campagne	Au vu des résultats d'analyses de la campagne de juillet 2009 et à la demande de la liquidatrice amiable, un allégement sur les paramètres hydrocarbures aromatiques polycycliques (HAP), solvants polaires, aldéhydes/cétones, glycols, acétate, PCB et indice phénol a été instauré.	'hydrocarbures aromatiques polycycliques', 'HAP', 'solvants polaires', 'aldéhydes / cétones', 'glycols', 'PCB', 'indice phénol'	
2006	09	08		2006	09	08			de_la_visite	L'existence des diagnostics de reconnaissance des sols et des comptes rendus de travaux et de suivi de la réhabilitation ont été spontanément portés à la connaissance de l'inspection des installations classées par la société BIGUET Distribution lors de la visite du site du 08 septembre 2006.		'la société BIGUET Distribution'
2004				2004					l__application	Pour l'exercice de son activité, le dégraissage a été effectué au trempé jusqu’en 1995 avec des produits composés d’organo-halogénés, puis jusqu’en 2004 avec des solvants à base d’alcools et de solvants pétroliers et depuis par aspersion de produits lessiviels ; l’application de peintures liquides solvatées par procédé au trempé a été remplacée en 2004 par une application et cuisson de peintures en poudre à base de résines synthétiques	'produits composés d’ organo - halogénés', 'alcools', 'solvants pétroliers', 'peintures liquides', 'résines synthétiques'	
2007	02	08		2007	02	08			réaménagement_des_sites_pollués	C'est l'objet de l'arrêté préfectoral complémentaire du 08/09/2009 qui prend en compte la méthodologie de gestion de la dépollution du site, s’appuyant sur les outils de gestion et de réaménagement des sites pollués mis en place par le ministère du développement durable, publié le 8 février 2007.		
				1995					le_dégraissage	Pour l'exercice de son activité, le dégraissage a été effectué au trempé jusqu’en 1995 avec des produits composés d’organo-halogénés, puis jusqu’en 2004 avec des solvants à base d’alcools et de solvants pétroliers et depuis par aspersion de produits lessiviels ; l’application de peintures liquides solvatées par procédé au trempé a été remplacée en 2004 par une application et cuisson de peintures en poudre à base de résines synthétiques	'produits composés d’ organo - halogénés', 'alcools', 'solvants pétroliers', 'peintures liquides', 'résines synthétiques'	
2005	02	07		2005	02	07			la_cession_du_fonds_de_commerce	La société BIGUET Distribution, groupe PROVOST, a subordonné la cession du fonds de commerce le 07 février 2005 à la réalisation d'un diagnostic de sols et d'opérations de réhabilitation d'une part, à la suppression de la mise en oeuvre de solvants organiques par le changement des procédés de dégraissage (dégraissage au moyen de lessives en milieu aqueux), et d'application de peintures (application et cuisson de peintures en poudre)d'autre part.	'solvants organiques'	'La société BIGUET Distribution', 'groupe PROVOST'
2007	03			2007	03				du_diagnostic	L'extraction et la biodégradation des substances polluantes observées lors du suivi du traitement sont donc confirmées par les sondages R1 et R4 réalisés lors du diagnostic de mars 2007.	'substances polluantes'	
2011		2010		2011		2010			aux_études_réalisées	Suite aux études réalisées en fin 2010-début 2011 à la demande des deux sociétés CLIP et SCMMB afin de déterminer la migration des polluants dans la nappe phréatique, il a été mis en évidence que les voies de transfert de la pollution (migration des polluants de la nappe profonde ou du fossé à ciel ouvert du réseau communal des eaux pluviales de la zone industrielle de Thiron Gardais) étaient trop complexes pour établir un modèle de migration des pollutions vers le captage d'alimentation en eau potable (AEP).	'polluants'	'deux sociétés CLIP', 'SCMMB'
2007	08			2007	08				effectués	La somme du trichloroéthylène et tétrachloroéthylène a toujours été supérieure à 10 µg/l (norme de potabilité: arrêté ministériel du 11 janvier 2007) pour le PZ2 (1200 à 3000 µg/l) et PZ3 (22 à 280 µg/l ) et inférieur à 10 µg/l (norme de potabilité) pour le PZ1 à l’exception des prélèvements effectués en août 2007 (40 µg/l).	'trichloroéthylène', 'tétrachloroéthylène', 'PZ2'	
1972				1972					a_démarré_sur_le_site	. (Société Commerciale des Meubles Métalliques Biguet), installée Rue Charles Biguet, en zone industrielle de Thiron Gardais, était spécialisée dans la fabrication de meubles métalliques pour bureaux et ateliers et a bénéficié d'un arrêté préfectoral d'autorisation n° 2998 du 02 novembre 1993 au titre du code de l'environnement;l'activité a démarré sur le site en 1972.	'Métalliques'	'( Société Commerciale des Meubles', 'Biguet'
2005	06	24		2005	06	24			est_désormais_représentée_légalement	. a fait l'objet d'une dissolution à compter du 24 juin 2005 et est désormais représentée légalement par son ancienne présidente directrice générale, en qualité de liquidatrice amiable.		
2012	04			2012	04				La_campagne_de	La campagne de suivi de la qualité des eaux souterraines d'avril 2012 met en évidence de fortes teneurs en solvants chlorés (trichloroéthylène et tétrachloroéthylène) en amont est du site.	'solvants chlorés', 'trichloroéthylène', 'tétrachloroéthylène'	
2009	09	08		2009	09	08			est_demandé	Par arrêté préfectoral du 8 septembre 2009, il est demandé l'évacuation des déchets présents sur le site, une évaluation de l'impact sur les eaux souterraines, une interprétation de l'état des milieux, un plan de gestion de la pollution et une surveillance des eaux souterraines.		
