Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2009	07		01	2009	07		01		ont_été_effectués	19 points de sondage (S1 à S19) ont été effectués en janvier et juillet 2009 dans les zones identifiées comme étant sensibles vis-à-vis d'une pollution potentielle, compte tenu des conclusions de l'étude historique et documentaire de novembre 2008.		
2007	09	17		2007	09	17			des_opérations_de_nettoyage	Après avoir été mis en demeure de mettre le site en sécurité par arrêté préfectoral du 17 septembre 2007, Maître GOMIS a fait réalisé, fin 2007, des opérations de nettoyage du site par la société ORTEC ENVIRONNEMENT consistant principalement à éliminer les déchets présents dans le bâtiment de l'établissement et à effectuer un nettoyage des sols.	'les déchets'	'la société ORTEC ENVIRONNEMENT'
2013				2013					Les_deux_campagnes	Les deux campagnes de la surveillance de la qualité des eaux souterraines réalisées en 2013 sur le piézomètre aval PZ3 ont montré que les concentrations en solvants chlorés continuaient à fluctuer, soit à la hausse ( concentrations de 120 µg/l en trichloréthylène et de 390 µg/l en Cis-1,2 Dichloroéthylène pour les mesures de mars 2013), soit à la baisse ( concentrations de 8,7 µg/l en trichloréthylène et de 110 µg/l en Cis-1,2 Dichloroéthylène pour les mesures de juin 2013).	'solvants chlorés', 'trichloréthylène', 'Cis-1,2 Dichloroéthylène', 'trichloréthylène', 'Cis-1,2 Dichloroéthylène'	
2009	01			2009	01				a_été_mis_en_place	Un réseau de trois piézomètres a été mis en place en place en janvier 2009.		
2010	08			2010	08				des_travaux_de_dépollution	Dans un premier temps, des travaux de dépollution consistant en l'excavation de la zone source ont été menés en août 2010 (enlèvement d'environ 800 T de terres polluées au niveau de trois excavations réalisées à l'intérieur et à l'extérieur du bâtiment) .		
2014	04			2014	04				un_dépassement_de	Les 2 campagnes de surveillance réalisées en 2014 ainsi que celle menée en juin 2015 ont seulement relevé un dépassement de la valeur seuil sur le chlorure de vinyle: 3,6 µg/l en avril 2014, 7,2 µg/l en septembre 2014 et 1,9 µg/l en juin 2015.	'chlorure de vinyle'	
2009	01			2009	01				Les_analyses_réalisées	Les analyses réalisées sur les eaux souterraines en janvier 2009 ont donné les résultats suivants (en utilisant les valeurs seuils de la circulaire du 23 octobre 2012) :		
2007	05			2007	05				prend_connaissance	En mai 2007, l'inspection des installations classées prend connaissance de la cessation d'activité du site, suite à une pollution survenue dans l'établissement et signalée par la commune de Marnaz (déversement d'huile soluble par des gens du voyage s'étant introduit dans l'établissement).	'huile'	
2010				2012					__6_campagnes	Dans le même temps, la surveillance de la qualité des eaux souterraines, à l'amont et à l'aval du site, a été poursuivie (6 campagnes entre 2010 et 2012).		
2015	01			2015	01				a_été_vendu	Le tènement a été vendu en janvier 2015 à la SCI des CHAMPAGNYS (terrain) et à la SAS IMMOBAGRI (bâtiment) situées à la Rivière-Enverse (74), dont le dirigeant est monsieur Antoine ZARDO.		'la SCI des CHAMPAGNYS', 'la SAS IMMOBAGRI', 'monsieur Antoine ZARDO'
2009				2009					du_diagnostic	Le courrier du Préfet du 12 juillet 2012 demande à la société FINAMUR la poursuite de la surveillance de la qualité des eaux souterraines jusqu’à fin 2013 sur les mêmes paramètres mesurés lors de la campagne de décembre 2011 (niveau piézométriques, température, potentiel Redox, conductivité, pH, COHV et HCT) auxquels seront ajoutés l’arsenic et le plomb détectés lors du diagnostic de 2009.	'pH', 'COHV', 'HCT', 'arsenic', 'plomb'	'Préfet', 'la société FINAMUR'
2010				2012					a_été_poursuivie	Dans le même temps, la surveillance de la qualité des eaux souterraines, à l'amont et à l'aval du site, a été poursuivie (6 campagnes entre 2010 et 2012).		
2008	11			2008	11				ont_été_effectués	19 points de sondage (S1 à S19) ont été effectués en janvier et juillet 2009 dans les zones identifiées comme étant sensibles vis-à-vis d'une pollution potentielle, compte tenu des conclusions de l'étude historique et documentaire de novembre 2008.		
2012	11	29		2012	11	29			a_été_transmis	Un rapport de fin de travaux du traitement bio-venting a été transmis à l’inspection des installations classées le 29 novembre 2012.		
2013	06			2013	06				les_mesures	Les deux campagnes de la surveillance de la qualité des eaux souterraines réalisées en 2013 sur le piézomètre aval PZ3 ont montré que les concentrations en solvants chlorés continuaient à fluctuer, soit à la hausse ( concentrations de 120 µg/l en trichloréthylène et de 390 µg/l en Cis-1,2 Dichloroéthylène pour les mesures de mars 2013), soit à la baisse ( concentrations de 8,7 µg/l en trichloréthylène et de 110 µg/l en Cis-1,2 Dichloroéthylène pour les mesures de juin 2013).	'solvants chlorés', 'trichloréthylène', 'Cis-1,2 Dichloroéthylène', 'trichloréthylène', 'Cis-1,2 Dichloroéthylène'	
2005				2005					a_cessé_son_activité	Elle a cessé son activité au milieu de l'année 2005.		
2013	12	09		2013	12	09			a_été_radiée_du_registre_du_commerce	La société BRIFFAZ Albert a été radiée du registre du commerce et des sociétés (RCS) le 09 décembre 2013.		'La société BRIFFAZ'
2007				2007					des_opérations_de_nettoyage	Après avoir été mis en demeure de mettre le site en sécurité par arrêté préfectoral du 17 septembre 2007, Maître GOMIS a fait réalisé, fin 2007, des opérations de nettoyage du site par la société ORTEC ENVIRONNEMENT consistant principalement à éliminer les déchets présents dans le bâtiment de l'établissement et à effectuer un nettoyage des sols.	'les déchets'	'la société ORTEC ENVIRONNEMENT'
2011	12			2011	12				la_campagne	Le courrier du Préfet du 12 juillet 2012 demande à la société FINAMUR la poursuite de la surveillance de la qualité des eaux souterraines jusqu’à fin 2013 sur les mêmes paramètres mesurés lors de la campagne de décembre 2011 (niveau piézométriques, température, potentiel Redox, conductivité, pH, COHV et HCT) auxquels seront ajoutés l’arsenic et le plomb détectés lors du diagnostic de 2009.	'pH', 'COHV', 'HCT', 'arsenic', 'plomb'	'Préfet', 'la société FINAMUR'
2009				2009					les_mêmes_paramètres_mesurés_lors_de	Le courrier du Préfet du 12 juillet 2012 demande à la société FINAMUR la poursuite de la surveillance de la qualité des eaux souterraines jusqu’à fin 2013 sur les mêmes paramètres mesurés lors de la campagne de décembre 2011 (niveau piézométriques, température, potentiel Redox, conductivité, pH, COHV et HCT) auxquels seront ajoutés l’arsenic et le plomb détectés lors du diagnostic de 2009.	'pH', 'COHV', 'HCT', 'arsenic', 'plomb'	'Préfet', 'la société FINAMUR'
1988									est_implantée	Depuis 1988, l'usine est implantée sur la zone UX de Plan Local d'Urbanisme, correspondant à une "zone à caractère artisanales et industrielle".		
2010	08			2010	08				enlèvement	Dans un premier temps, des travaux de dépollution consistant en l'excavation de la zone source ont été menés en août 2010 (enlèvement d'environ 800 T de terres polluées au niveau de trois excavations réalisées à l'intérieur et à l'extérieur du bâtiment) .		
2011	04								mettre_en_œuvre_un_traitement	Ceci étant, les concentrations résiduelles en hydrocarbures (pouvant atteindre 7 700 mg/kg MS) et en solvants chlorés (20,4 mg/kg MS) dans les sols à la périphérie des fouilles ont conduit à mettre en œuvre un traitement de finition par bio-venting depuis avril 2011 afin d'améliorer la qualité des sols.	'hydrocarbures', 'chlorés'	
2014	09			2014	09				un_dépassement_de	Les 2 campagnes de surveillance réalisées en 2014 ainsi que celle menée en juin 2015 ont seulement relevé un dépassement de la valeur seuil sur le chlorure de vinyle: 3,6 µg/l en avril 2014, 7,2 µg/l en septembre 2014 et 1,9 µg/l en juin 2015.	'chlorure de vinyle'	
1988	03	31		1988	03	31			déclaration_délivré	Cette exploitation avait fait l’objet d’un récépissé de déclaration délivré le 31 mars 1988 pour les activités de travail mécanique des métaux et d’emploi de liquides halogénés (dégraissage métallique).	'liquides halogénés'	
2015	06			2015	06				un_dépassement_de	Les 2 campagnes de surveillance réalisées en 2014 ainsi que celle menée en juin 2015 ont seulement relevé un dépassement de la valeur seuil sur le chlorure de vinyle: 3,6 µg/l en avril 2014, 7,2 µg/l en septembre 2014 et 1,9 µg/l en juin 2015.	'chlorure de vinyle'	
2005	11	16		2005	11	16			a_été_déclarée_en_liquidation_judiciaire	Par jugement du tribunal de grande instance de Bonneville en date du 16 novembre 2005, la société BRIFFAZ ALBERT a été déclarée en liquidation judiciaire.		'Bonneville', 'la société BRIFFAZ ALBERT'
